Frequently (and recently) reported bugs Here is a list of bugs that
have had 10 or more duplicate reports filed in the last two years
 
 Bug#  Dupes Status      Description 
 94625  460  FIXED       vertical panel with notification area crashes on login
160111  206  NOTGNOME    TRACKER: Fedora 3 eggcups crash in dbus_connection_set
138986  150  FIXED       Nautilus will crash on startup (AMD64 platform) 
 94509  126  FIXED       vte_terminal_ensure_cursor crashes on window resize w/
138830  105  NOTGNOME    totem crashes when /dev/dsp busy (arts) 
158683   73  NOTGNOME    Fedora 3 eggcups crash in hal_initialize 
 61876   68  NOTGNOME    Flash plugin crash 
 67691   57  NOTGNOME    fairly random crash signing into ebay / Crash on submi
151715   55  FIXED       Gedit Crash after opening a second tab 
150809   55  NEW         Spontaneous crash of gnome-panel 
111147   54  FIXED       gnome-panel crash [FAMClose; FAMMonitorDirectory] 
146450   51  FIXED       gnome-cd-properties hung 
153888   48  FIXED       nautilus crash shortly after boot to multiuser runleve
 94422   45  FIXED       xembed crash possibly related to the notification area
 75900   42  FIXED       galeon crashes [GaleonWrapper::SetZoom] 
139473   41  FIXED       Crash opening folder with pictures [gnome_thumbnail_fa
 81521   38  GNOME1.X    crash on two rapid consecutive launch attempts (toolba
101856   37  FIXED       PangoFT2 is unable to use fonts that have no Unicode m
 95238   37  NEW         Crash in gdk_pixbuf_scale_simple 
145426   35  FIXED       svg icon(s) crashes gtk file selector and nautilus at 
146645   34  NEW         gnome-background-properties crashes 
136721   33  FIXED       Crash trying to open preferences for the clock-applet 
146075   32  NEW         Crash while adding images to desktop 
146130   29  NEW         desktop background preferences 
105745   29  FIXED       Spontaneous GdkEvent segfault 
 94592   29  NOTGNOME    Crash in Chinese X Input Method 
134753   28  NEW         Crash browsing smb:// [nautilus_directory_monitor_add_
130774   28  FIXED       Error when libdvdcss is not installed should not suck 
134049   27  FIXED       Galeon crashes when deleting cookies and stored passwo
148362   26  FIXED       Respect encodings for embedded fonts, handle CID fonts
151756   25  NEEDINFO    gnome-cups-add crashes on execution 
107262   25  DUPLICATE   [eel_pango_layout_set_font_desc_from_string] Applicati
139211   24  FIXED       Crash after trying to open document -- thumbnail probl
 94598   24  DUPLICATE   crashes in gnome_vfs_monitor_callback 
153227   23  NOTGNOME    [alsasink] Can't play audio files 
132366   22  FIXED       crashes when loading ( finding font ) 
 92038   22  FIXED       gnome-cd crashes on startup 
 77540   22  GNOME1.X    TRACKER: panel crash on startup [ gdk_pixmap_new ] 
 72125   22  FIXED       Non-focused tab's gtkmozembed steals focus when done l
118244   21  FIXED       gpilotd crashes when I attempt to configure 
 86982   21  FIXED       Terminal crashes using command line profile options 
156349   20  UNCONFIRMED Key shortcut 
141961   20  FIXED       GtkIconFactory incorrectly uses g_free on a GdkPixbuf 
139063   20  FIXED       gedit crash after mount 
110998   20  FIXED       Panel crashes if its background image is no longer pre
107741   20  FIXED       [TRACKER] smb crash if the connection to the server go
 99232   20  GNOME1.X    Galeon fatal error(window_close, mozembed_destroy_cb) 
146867   19  INVALID     gnome-sound-recorder always crash 
133090   19  NEW         [gam_mixer_slider_count, gam_props_dlg_constructor] Cr
 91588   19  NEEDINFO    Nautilus crash when switching view [nautilus_tree_mode
147705   18  FIXED       GGV crashes when printing 
138341   18  FIXED       Gimp crashes when I use a Wacom Graphics tablet 
120222   18  FIXED       Crash on duplicate mounts 
105153   18  NEW         Focus on opening new tab 
 95615   18  NEW         It crashed.  (XftGlyphCheck) 
 89541   18  NEW         Iteration by characters, clusters broken 
155241   17  FIXED       Eye Of Gnome crash (.jpg file) 
146801   17  NOTGNOME    Crash on startup (unable to allocate memory) 
 98295   17  NEW         gnome2 system monitor crashes 
136036   16  FIXED       Crash on unknown value for play_order in GConf 
135541   16  FIXED       debian crash on tiff/jpeg images (TIFFReadRGBAImage ()
 96140   16  FIXED       Stacking of transient children of transient with a gro
 88538   16  GNOME1.X    galeon crashed when first started (mozilla_preferences
148847   15  NEW         nautilus crash on startup 
138997   15  FIXED       Epiphany crashes at startup 
135399   15  FIXED       Ctrl-l keybinding doesn't work on desktop 
128806   15  NOTGNOME    epiphany-bin crash after clicking on URL in thunderbir
 95796   15  FIXED       segfault viewing text file 
 81986   15  GNOME1.X    Context menu action crashes because of an invalid url 
145789   14  NEW         Nautilus crashes on closing root window [nautilus_file
