The top 100 patch reviewers from 2006

# reviewed  Bugzilla User
   293      Tim-Philipp Müller           
   256      James "Doc" Livingston        
   216      Elijah Newren                 
   207      Srinivasa Ragavan             
   187      Wim Taymans                   
   169      Harish Krishnaswamy           
   165      Behdad Esfahbod               
   155      Bastien Nocera                
   148      William Jon McCann            
   142      Christian Persch (IRC: chpe)  
   136      Matthias Clasen               
   118      Sven Neumann                  
   111      Aaron Bockover                
   110      Andre Klapper                 
   108      Vincent Untz                  
    97      Jonathan Matthew              
    91      bill.haneman@sun.com          
    89      Sushma Rai                    
    86      Larry Ewing                   
    83      paolo borelli                 
    82      chenthill                     
    62      Martyn Russell                
    59      David Trowbridge              
    59      Christian Neumair             
    58      Nickolay V. Shmyrev           
    58      Benoît Dejean                
    56      Karsten Bräckelmann          
    55      Davyd                         
    55      Joe Shaw                      
    54      Devashish Sharma              
    54      Paolo Maggi                   
    52      Andrew Cowie                  
    52      Guilherme de S. Pastore       
    48      Germán Poó-Caamaño         
    47      Willie Walker                 
    46      Edward Hervey                 
    45      Brian Cameron                 
    44      Rodrigo Moya                  
    41      Nate Nielsen                  
    40      Steve Frécinaux              
    38      Kjartan Maraas                
    38      Johannes Schmid               
    38      Mark McLoughlin               
    36      Ruben Vermeersch              
    35      Stephane Delcroix             
    35      Jan Schmidt                   
    35      Veerapuram Varadhan           
    34      Sebastien Bacher              
    33      Ross Burton                   
    31      Andy Wingo                    
    30      Charles Kerr                  
    28      Michael Natterer              
    28      Don Scorgie                   
    28      Ronald Bultje                 
    28      Gabriel Burt                  
    26      Brent Smith (smitten)         
    26      James Henstridge              
    26      Alex Lancaster                
    26      Lucas Rocha                   
    25      Martin Wehner                 
    25      Gustavo Carneiro              
    25      Hans Breuer                   
    24      parthasarathi susarla         
    23      Peter Parente                 
    23      remus draica                  
    22      Michael Natterer              
    21      Federico Mena Quintero        
    20      Thomas Wood                   
    20      Adam Schreiber                
    20      Olav Vitters                  
    19      Jody Goldberg                 
    19      Dom Lachowicz                 
    18      Raphael Slinckx               
    18      Claudio Saavedra              
    17      Michael Smith                 
    17      Christian Kellner             
    17      Rodney Dawes                  
    17      Mariano Suárez-Alvarez       
    17      Joachim Noreiko               
    16      Jeffrey Stedfast              
    16      Christian Kirbach             
    16      Harry Lu                      
    15      Carlos Garcia Campos          
    15      Thomas Thurman                
    14      Patrick van Staveren          
    14      Oana Serb                     
    14      Mattias Karlsson              
    14      Bengt Thuree                  
    13      Xavier Claessens              
    13      Zack Cerza                    
    13      Guillaume Desmottes           
    13      Debajyoti Bera                
    13      David Sedeño Fernández      
    13      Nagappan                      
    12      Zaheer Abbas Merali           
    11      Ray Strode                    
    11      Johan Dahlin                  
    11      David Bolter                  
    11      Li Yuan                       
    11      Rich Burridge                 
