**** BEGIN LOGGING AT Wed Jun 29 15:28:15 2005

Jun 29 15:28:15 *	Now talking on #evolution-meet
Jun 29 15:29:29 harish	lets get started ...
Jun 29 15:30:31 harish	the gnome servers are down now.. so time to tidy up all the patches :)
Jun 29 15:30:39 *	Mengjie (~Mengjie@202.108.88.130) has joined #evolution-meet
Jun 29 15:30:57 harish	fyi.. the next unstable release 2.3.4 will be out on 1 July
Jun 29 15:31:51 harish	only one dot release away from the feature freeze
Jun 29 15:32:05 harish	andre, anything for us ?
Jun 29 15:34:04 harish	arun joins the evolution-team and will be working on the exchange component.
Jun 29 15:34:07 harish	welcome arun
Jun 29 15:34:14 harish	chen : ?
Jun 29 15:34:29 chen	harish: Completed the progress indication while downloading the calendar items from the server, will be commiting once the cvs server is up and we worked on build buddy :)
Jun 29 15:35:06 harish	yep. the evolution HEAD snapshot rpms are available on the redcarpet.ximian.com
un 29 15:36:29 harish	well - my status - was working getting the snapshots  back again
Jun 29 15:36:29 arun	harish, thanks
Jun 29 15:36:41 harish	ksh, ?
Jun 29 15:37:09 harish	Mengjie, anything for us ?
Jun 29 15:37:24 ksh	hi harish
Jun 29 15:37:47 ksh	harish: Mengjie has worked out a nice patch for gtkhtml.. 
Jun 29 15:37:58 ksh	so it would be committed this week sometime
Jun 29 15:38:02 harish	cool..
Jun 29 15:38:08 ksh	gal is gone
Jun 29 15:38:19 ksh	excchange is also patched up
Jun 29 15:38:36 ksh	further,
Jun 29 15:38:43 harish	and are the missing i18n stuff patched up too ?
Jun 29 15:38:53 ksh	i would be working on some more complex issues in gtkhtml
Jun 29 15:38:54 *	NotZed (~notzed@ppp170-161.lns1.per1.internode.on.net) has joined #evolution-meet
Jun 29 15:39:01 harish	hi rodrigo, NotZed
Jun 29 15:39:01 ksh	harish: very much
Jun 29 15:39:14 NotZed	sorry i'm late
Jun 29 15:39:15 harish	sankar, updates on the proxy feature ?
Jun 29 15:39:18 sankar	harish: Sent a patch to evolution-patches . will be sending one more today... shres sent a mail about the usecases and screenshots to mailing lists.
Jun 29 15:39:55 harish	NotZed, the network is behaving strangely here - so we have been hopping in and out too
Jun 29 15:40:15 Mengjie	karish: No special things
Jun 29 15:40:33 Mengjie	s/k/h/g
Jun 29 15:40:34 harish	great..i would like one of you to send a short description on your design approach to e-h as well..
Jun 29 15:40:52 sankar	harish: ok
Jun 29 15:41:02 harish	a short note on how you manage proxy sessions, how are the esources/eaccounts handled etc..
Jun 29 15:41:21 shres	harish: will do 
Jun 29 15:41:23 harish	to catch some eyeballs for review..
Jun 29 15:41:27 harish	Mengjie, thanks
Jun 29 15:41:39 harish	NotZed, anything for us ?
Jun 29 15:41:51 Mengjie	harish: Not at all:)
Jun 29 15:42:25 harish	i agree with NotZed on the need to discuss and communicate on e-h and e-p more than private mails
Jun 29 15:42:39 harish	*rather than private mails
Jun 29 15:42:42 NotZed	hmm, the inline pgp display stuff is ready once cvs is up again.  other than that, usual review/support/hacking stuff.  did a tiny bit of bug stuff late last friday night too
Jun 29 15:43:27 *	krish_ has quit (Ping timeout: 600 seconds)
Jun 29 15:43:33 harish	great..that can go in for 2.3.4 on Friday then
Jun 29 15:43:41 *	nags (~nags@202.144.86.147) has joined #evolution-meet
Jun 29 15:43:44 harish	shres, ?
Jun 29 15:44:11 rodrigo	hi harish 
Jun 29 15:44:36 shres	I am just about finishing of an initial walk through all the code and cleaning them up. Will start mailing the code to e-p for review
Jun 29 15:45:10 shres	also started doing some heavy testing to find bugs on the server
Jun 29 15:45:16 harish	NotZed, srag: on the use of mail apis in calendar - we need to take up the task at the earliest but we do not have anybody to do it right now
Jun 29 15:46:05 harish	NotZed, wouldnt it be a more practical approach to make the attachment stuff in composer more generic ?
Jun 29 15:46:28 harish	thanks shres
Jun 29 15:46:30 shres	lot of code to be reviewed. Hopefully the maintainers wont be too over burdened :-)
Jun 29 15:46:37 harish	sp: ?
