Sep 26 06:03:44 <srag>	Hello every one
Sep 26 06:03:48 <chen>	hi
Sep 26 06:03:58 *	shashish (~shashish@125.16.129.16) has joined #evolution-meet
Sep 26 06:04:09 <srag>	I know Im late by few mins (caught up in a meeting)
Sep 26 06:04:46 *	prasad (~evotest@125.16.129.16) has joined #evolution-meet
Sep 26 06:05:10 <psankar>	srag, not late really ;)
Sep 26 06:05:15 <psankar>	it is just 2 mins
Sep 26 06:05:16 *	Lucky (~Lucky@125.16.129.16) has joined #evolution-meet
Sep 26 06:05:17 <srag>	psankar, ok :)
Sep 26 06:05:28 <srag>	I think we can start now
Sep 26 06:05:59 <srag>	We have started working on the new things for 2.22 now
Sep 26 06:06:11 <srag>	look at the planning page and add if anything you find should be there
Sep 26 06:06:30 <srag>	We gotto get the patches under control now and I have started it just few hours back
Sep 26 06:06:40 <srag>	I hope to get that down and I expect the same from the team as well
Sep 26 06:06:57 <srag>	Im planning to start on intrusive-errors right away
Sep 26 06:07:25 <srag>	I would need a volunteer who can keep the gnome.org/projects/evolution site updated
Sep 26 06:07:49 <srag>	I seem to lack  time and It would be great if anyone else can take it up
Sep 26 06:07:52 <srag>	any volunteers?
Sep 26 06:08:00 <srag>	Apart from that, we can go around the channel
Sep 26 06:08:12 <srag>	Akhil, any updates for us?
Sep 26 06:08:40 <Akhil>	srag, nothing from my side ..
Sep 26 06:08:46 <srag>	chen, anything to share with us?
Sep 26 06:09:33 <srag>	Lucky, anything to share with us?
Sep 26 06:09:47 <chen>	srag: just submmitted some patches for nld9 sp4 and didn have much luck with visa, so we will not be able to make for boston summit
Sep 26 06:10:02 <Lucky>	srag, nothing special, got success in getting message filter from .Archive physical folder as well as from other folder .. 
Sep 26 06:10:17 <srag>	chen, ah :(
Sep 26 06:10:19 *	You are now known as mbarnes
Sep 26 06:10:23 <chen>	srag: will be looking into items to be done for calendar for the 2.14 and some planning on those lines
Sep 26 06:10:26 <srag>	chen, when is google calendar code hitting the trunk?
Sep 26 06:10:30 <Lucky>	srag, nothing more on my side.. :)
Sep 26 06:10:33 <srag>	s/2.14/2.22 ;-)
Sep 26 06:10:43 <srag>	Lucky, thanks
Sep 26 06:10:52 <Lucky>	srag, Thanks :)
Sep 26 06:11:02 <chen>	srag: prolly for GNOME 2.21.1 as we discussed earlier
Sep 26 06:11:16 <srag>	cool chen 
Sep 26 06:11:22 <srag>	luckybharath, anything to share with us?
Sep 26 06:11:49 *	Lucky is now known as Lucky|brb
Sep 26 06:11:59 <luckybharath>	srag: just working on those smart card patches. once all the issues get resolved we can commit them to trunk.
Sep 26 06:12:00 <srag>	hey mbarnes anything to share with us?
Sep 26 06:12:09 <srag>	luckybharath, cool. Lets get them for 2.22.1
Sep 26 06:12:13 <luckybharath>	srag: will talk with nirav on the next task as well
Sep 26 06:12:15 <srag>	luckybharath, cool. Lets get them for 2.21.1 :)
Sep 26 06:12:21 <srag>	ok.
Sep 26 06:12:35 <mbarnes>	hi srag, I'm making progress on the Bonobo-less composer branch
Sep 26 06:12:57 <mbarnes>	also, I can keep the website up-to-date if it's not much more than version and documentation updates
Sep 26 06:13:03 <srag>	cool mbarnes. when can we have some screenshots/feel of the branch
Sep 26 06:13:14 <srag>	mbarnes, it is just that and nothing more :)
