Oct 03 06:03:38 <srag>	Hello every one 
Oct 03 06:03:46 <srinidhi>	srag: hi!! :)
Oct 03 06:03:50 <chen>	hi srag
Oct 03 06:04:06 <srag>	Hi guys
Oct 03 06:04:06 <schooms>	hi everyone !!
Oct 03 06:04:19 <mcrha>	hello
Oct 03 06:04:28 <Lucky>	hello all :)
Oct 03 06:04:42 <srag>	I think we should be out of the vacation mood by now and get back to 2.22 work from now on.
Oct 03 06:05:10 <mcrha>	ha, vacation, what that word means? :)
Oct 03 06:05:23 <srag>	Some important things to note, before we go around the channel
Oct 03 06:05:36 <srag>	mcrha, :)
Oct 03 06:05:38 <schooms>	srag: so.. is it officical .... the next major Evo will be 2.22 ??
Oct 03 06:05:46 <chen>	mcrha:  we had a extended weekend last week ;)
Oct 03 06:05:55 <schooms>	s/officical/official
Oct 03 06:06:04 <srag>	2.20.1 is on October 15 and we should get out to fix some of the top issues that has come
Oct 03 06:06:10 <andre>	"2.22" instead of "2.14"? srag, i love you :-*  ;-)
Oct 03 06:06:19 <mcrha>	chen, we too, 3 days, with Friday, not much vacation for me :)
Oct 03 06:06:22 <srag>	andre, schooms yes.
Oct 03 06:06:53 <srag>	I would send out a mail on e-h today/tomorrow on this to get a feel of what others think before we put it to configure.in (syncing the minor versions only)
Oct 03 06:07:05 <chen>	mcrha: we had 4 for the ones who took a leave this Monday 
Oct 03 06:07:09 *	shashish (~shashish@125.16.129.16) has joined #evolution-meet
Oct 03 06:07:15 <srag>	for evolution/eds/exchange... should we do this for gtkhtml also?
Oct 03 06:07:43 <andre>	yes please
Oct 03 06:07:47 <srag>	ok :)
Oct 03 06:07:58 <andre>	you make it a lot easier for a lot of people, i cen tell you
Oct 03 06:08:03 <andre>	gtkhtml 3.22 sounds good
Oct 03 06:08:18 <srag>	I have created a planning page for 2.22 and lets stick to it by adding tasks to it
Oct 03 06:08:25 <srag>	Some top things that are in my list are
Oct 03 06:08:48 *	prasad (~evotest@125.16.129.16) has joined #evolution-meet
