Oct 24 06:02:48 <srag>	Hello Everyone
Oct 24 06:03:15 <srag>	I haven't attended the meeting myself regularly for the past 1 month
Oct 24 06:03:23 <srag>	will be regular from here on
Oct 24 06:03:30 <srag>	Ok.
Oct 24 06:03:40 <srag>	We have Evolution 2.21.1 on monday 
Oct 24 06:04:00 <srag>	and a big thanks to Chen to quickly review the Google Calendar and get it in at the right time
Oct 24 06:04:20 <srag>	We have the new look tango icons part of the release
Oct 24 06:04:30 <srag>	I dont think we have anything big apart from those and lots of bug fixes
Oct 24 06:04:57 <srag>	I saw that the patches have touched 100+ and Im going slow on that for atleast another week
Oct 24 06:05:12 <srag>	Most of you would have seen the announce mail on MAPI work in the branch
Oct 24 06:05:30 <srag>	it is stealing most of our efforts and 4 out of entire team is on to that work
Oct 24 06:05:47 <srag>	we hope that by late november it should be mostly working fine
Oct 24 06:05:56 <srag>	Thatz it from my side
Oct 24 06:06:05 <srag>	we can go around the channel
Oct 24 06:06:10 <srag>	jony, anything to share with us?
Oct 24 06:06:51 <srag>	Lucky, anything to share with us?
Oct 24 06:07:00 <jony>	srag: mostly mapi work 
Oct 24 06:07:11 <Lucky>	srag, not so special .. :(
Oct 24 06:07:31 <Lucky>	srag, Just going ahead with groupwise archiving :)
Oct 24 06:07:46 <srag>	jony, when do you plan to finish the store summary impl?
Oct 24 06:07:57 *	srag cant wait to see the folder list and the mails 
Oct 24 06:07:58 <Lucky>	srag, And got auto archiving working properly .. :)
Oct 24 06:08:06 <srag>	Lucky, cool
Oct 24 06:08:08 <Lucky>	thats from my side ... 
Oct 24 06:08:10 <Lucky>	:)
Oct 24 06:08:20 <jony>	srag: that shud be done before this weekend .. v shud be getting folder list and mails by this friday .. :)
Oct 24 06:08:23 <Lucky>	srag, thanks :)
Oct 24 06:08:30 <srag>	jony, that will be great
Oct 24 06:08:45 <srag>	jony, lets go steady on that and do it right first time :)
Oct 24 06:08:57 <srag>	mbarnes, anything to share with us?
Oct 24 06:09:13 <jony>	srag: sure . :)
Oct 24 06:09:18 *	srag thinks that mbarnes might be sleeping right now
Oct 24 06:09:26 <srag>	mcrha, anything to share with us?
Oct 24 06:09:44 <mcrha>	I wanted to suggest a 'patch review day', say on next tuesday or week after that, but as you mentioned above, you've couple of work, so maybe later
Oct 24 06:09:58 <srag>	mcrha, nothing this week and next week.
Oct 24 06:10:07 <mcrha>	that's fine :)
Oct 24 06:10:25 *	srinidhi is now known as srinidhi|afk
Oct 24 06:10:26 <srag>	mcrha, I think you plan it this time and I hope that you will be on the reviewing side this time :)
Oct 24 06:10:46 <mcrha>	otherwise I moved some bugs from our bugzilla and attached some patches, and I will try to continue with it
Oct 24 06:10:53 <srag>	mcrha, great
Oct 24 06:10:59 <mcrha>	ahh, I was hoping I will be on that other side ;)
Oct 24 06:11:16 <mcrha>	but we can try, definitely :)
Oct 24 06:11:18 <srag>	Since Im going slow on it, I have asked mbarnes to fill the gap in the pending patches
Oct 24 06:11:23 <srag>	mcrha, sure :)
Oct 24 06:11:32 <srag>	prasad, anything to share with us?
Oct 24 06:11:35 <mcrha>	btw, what's the freeze now?
Oct 24 06:11:46 <srag>	mcrha, on the trunk nothing
Oct 24 06:11:58 <srag>	on the stable branch we still have UI/String/API/ABI
Oct 24 06:11:58 <mcrha>	I see some commit after freeze patches, maybe we can push them now?
Oct 24 06:12:14 <srag>	mcrha, sure to trunk
Oct 24 06:12:29 <mcrha>	ok, I can look for it, if you are ok with it
Oct 24 06:12:36 <srag>	mcrha, that will be awesome
Oct 24 06:12:50 <mcrha>	deal srag :)
Oct 24 06:13:00 <srag>	mcrha, :)
Oct 24 06:13:02 <srag>	psankar, anything to share with us?
Oct 24 06:13:10 <psankar>	Wrote a plugin to use gvim/whatever as Evo composer. Bare-bones version should be in by today. 
Oct 24 06:13:25 <srag>	psankar, Wow
Oct 24 06:13:42 <srag>	psankar, I remember hearing this from so many people, so many times.
Oct 24 06:13:58 <srag>	psankar, is your mono plugins work in trunk?
Oct 24 06:14:04 <srag>	psankar, it has to be :)
Oct 24 06:14:08 <srag>	for 2.21.1
Oct 24 06:14:09 <psankar>	srag, some kernel folks complained that they will never use evo. until this is done
