Dec 12 05:02:40 <srag>	Hello everyone,
Dec 12 05:03:05 <srag>	We are having 2.21.4 release coming monday
Dec 12 05:03:22 <srag>	as well as our UI/String announce starting at the same time
Dec 12 05:03:43 <srag>	So in all patch reviews/commits be cautious to announce them properly
Dec 12 05:04:11 <srag>	unfortunatly some of our core features are still outside the trunk 
Dec 12 05:04:16 *	ashish (~ashish@125.16.129.16) has joined #evolution-meet
Dec 12 05:04:30 <srag>	(non-intrusive errors, labels etc...)
Dec 12 05:04:58 *	abharath (~abharath@125.16.129.16) has joined #evolution-meet
Dec 12 05:05:06 <srag>	Another good thing is that the patches came down below 70 for the first time (It is 69 as of now)
Dec 12 05:05:17 <srag>	Lets get this close to zero
Dec 12 05:05:32 <srag>	I have marked a few patches for review/testing and please ensure that you do it before 2.21.4
Dec 12 05:06:10 <srag>	Otherwise, I have started working on intrusive errors and It would have a integrated log manager which Im writing now
Dec 12 05:06:25 <srag>	the first cut of work for 2.22 would be around mailer only
Dec 12 05:06:38 <srag>	and Im sure that I can extend to other components in the further releases
Dec 12 05:07:13 <srag>	So 2.22 "will" feature better error handling and "may" have a log/debug console (Not sure, if I can make it)
Dec 12 05:07:18 *	lakhil (~akhil@125.16.129.16) has joined #evolution-meet
Dec 12 05:07:39 <andre>	srag: can you come up with a UI draft picture for the log manager?
Dec 12 05:07:44 <srag>	Otherwise, I'm following the mail andre sent with my Management 
Dec 12 05:07:56 <srag>	andre, sure. I would post it asap :)
Dec 12 05:08:27 *	andre still has the UI of "The Bat 1.x" in mind for log messages
Dec 12 05:09:03 <srag>	I'm sure the correctness/errors part in user docs is something that can be fixed/taken care  
Dec 12 05:09:05 <srag>	andre, didn't get you
Dec 12 05:09:27 <srag>	but I'm not sure, how to take care of the issues of svn commits vs Frame Sync
Dec 12 05:09:33 <andre>	just meant i can perhaps also post a UI draft
Dec 12 05:09:43 <andre>	why does novell use framemaker?
Dec 12 05:09:55 <srag>	andre, if you have some thought on the UI, do post me :)
Dec 12 05:10:37 <andre>	just to prepare a pdf? if so, dblatex should also work perfectly to create a pdf from the docbook sources
Dec 12 05:10:40 <srag>	andre, I really donno, it is the tool Entire Novell documentation team uses. for every product
Dec 12 05:10:59 <andre>	also for *other* community products?
Dec 12 05:11:25 <srag>	andre, If there are better ways to manipulate Evolution doc's xml file, lemme know (dblatex ?)
Dec 12 05:12:03 <srag>	or something else?
Dec 12 05:12:45 <andre>	manipulate? a good question for the gnome doc team. i guess nobody has paid for framemaker there, and they still can write docs ;-)
Dec 12 05:12:55 <srag>	andre, I think we can move the discussion to the end of the meeting, so that we can finish the other agendas. (I'm sure I will address it in the best possible way) 
Dec 12 05:13:10 <andre>	...or to the mailing list, yepp. sure :)
Dec 12 05:13:22 <srag>	andre, any thing to share with us (apart from the mail ;-)
Dec 12 05:14:07 <marvin_lost___>	andre, I heard from Radhika some time back taht Framemaker's main advantage si single-sourcing it can generate xml, PDF, diffxml, HTML etc.
Dec 12 05:14:43 <andre>	...not really. i posted a meta bug (502515) about user-visible strings and which ones could be improved. feel free to comment/add/read/fix (but keep string announcement period in mind)
Dec 12 05:15:10 <srag>	andre, saw that. thx I will carry that on
Dec 12 05:15:17 <srag>	abharath, anything to share with us?
Dec 12 05:15:31 <srag>	abharath, can you commit the smart card thingy to trunk for 2.21.4?
Dec 12 05:15:40 <abharath>	srag: nothing much. just trying to get some details from the Singapore team on the server configuration
Dec 12 05:15:58 <abharath>	srag: i guess no. without it being tested properly cannot do that
Dec 12 05:16:18 <srag>	ok.
Dec 12 05:16:23 <srag>	ashish, anything to share with us?
Dec 12 05:16:37 <srag>	ashish, is the custom headers thingy getting in?
Dec 12 05:16:46 <srag>	I think we need to take it aggressively 
Dec 12 05:16:51 <ashish>	srag, I'm working on custom header. Working on to provide support of configuration file for custom header through Gconf. facing some complexities, soon, i'll resolve..
Dec 12 05:16:58 <ashish>	srag, no..
Dec 12 05:17:12 <srag>	ashish, I feel that we have to get it for 2.21.4
Dec 12 05:17:29 <marvin_lost___>	srag, I'll be extremely -ve about that
Dec 12 05:17:40 <srag>	marvin_lost___, any issues?
Dec 12 05:17:53 <marvin_lost___>	srag, I dont think it will be in a commitable shape by Monday
Dec 12 05:18:14 <srag>	marvin_lost___, I said we need to take it aggressively
Dec 12 05:18:28 <ashish>	srag, yes...but i'm facing some issue..so, feel difficult for 2.21.4
Dec 12 05:18:37 <srag>	ashish, lets speak after the meeting
Dec 12 05:18:45 <ashish>	srag, ok
Dec 12 05:18:47 <marvin_lost___>	srag, got it... we need to be much more aggressive than we are
Dec 12 05:18:53 *	chen wonders who is marvin_lost___
Dec 12 05:18:59 <schooms>	sankar
Dec 12 05:19:08 <srag>	chen, anything to share with us?
Dec 12 05:19:11 <chen>	cool :)
Dec 12 05:19:13 <marvin_lost___>	btu just that my paranoid midn thinks that it may not be possible for 2.21.4
Dec 12 05:19:19 <marvin_lost___>	chen, oops... didint realize that
Dec 12 05:19:22 *	marvin_lost___ is now known as psankar
Dec 12 05:19:48 <chen>	srag: Have been reviewing some patches and some groupwise fixes which needs to be committed. Will be commiting the patch to view additional timezones this week along with displaying favorite timezones from clockapplet in timezone dialog.
Dec 12 05:19:48 <chen>	srag: Have been reviewing some patches and some groupwise fixes which needs to be committed. Will be commiting the patch to view additional timezones this week along with displaying favorite timezones from clockapplet in timezone dialog.
Dec 12 05:20:09 <chen>	apart from that, I will be writing a patch to integrate send/receive to refresh calendars... 
Dec 12 05:20:20 <srag>	chen, that will be nice
Dec 12 05:20:22 <chen>	currently reviewing the patch to inherit alarms, bug 225712. 
Dec 12 05:20:36 <chen>	mcrha: plz get in touch with srag on  tne non-intrusive error dialog which needs to be taken care as part of 305322
Dec 12 05:20:57 <mcrha>	me?
Dec 12 05:20:58 <srag>	intlclock-applet integration would be nice, but be cautious the trunk clock may not feature the same as  what you use :)
Dec 12 05:21:15 <chen>	 getting in touch with ebby on the feature completion front for google calendar
Dec 12 05:21:20 <srag>	cool.
Dec 12 05:21:26 <srag>	jony, anything to share with us?
Dec 12 05:21:37 <jony>	srag: good progress with mapi connector. and for the dot release i have 4 patches to review in under my list.
Dec 12 05:22:03 <chen>	srag: yeah once the clock-applet patch is integrated it would work fine 
Dec 12 05:22:06 <jony>	srag: most of the planned work in servers/mapi is done .. so moving to camel to get more functionality up and running.
Dec 12 05:22:08 <srag>	jony, get aggressive on the patches, since you should have buffer for reworks as well (Don't review at the last minute :)
Dec 12 05:22:20 <srag>	jony, cool
Dec 12 05:22:25 <jony>	srag: sure .. i'll do that 
Dec 12 05:22:29 <srag>	thx
Dec 12 05:22:33 <chen>	mcrha: yes
Dec 12 05:22:35 <srag>	lakhil, anything to share with us?
Dec 12 05:22:50 <lakhil>	srag, bug triaging , test case writing , smart card set up and some testing stuff with respect group wise back end 
Dec 12 05:23:07 <chen>	mcrha: its about the calendars getting unchecked when eds crashes
Dec 12 05:23:23 <srag>	thx lakhil 
Dec 12 05:23:32 <srag>	mcrha, anything to share with us?
Dec 12 05:23:33 <mcrha>	chen, ok, I see, will look your comment there later
Dec 12 05:23:41 <chen>	fine
Dec 12 05:23:54 <mcrha>	sure srag, if everything goess mooth, then label will be till the end of this week
Dec 12 05:24:04 <srag>	Amazing.
Dec 12 05:24:12 <mcrha>	UI is almost done, just extend filters
Dec 12 05:24:20 <mcrha>	and test, of course
Dec 12 05:24:21 <srag>	I wish it goes smooth. (Guys don't disturb mcrha this week ;-)
Dec 12 05:24:32 <psankar>	I defintely wont ;)
Dec 12 05:24:42 <mcrha>	but the patch will be long, really
