Dec 19 05:00:50 <srag>	Evening guys
Dec 19 05:01:18 *	andre (~andre@dslb-088-070-083-162.pools.arcor-ip.net) has joined #evolution-meet
Dec 19 05:01:20 *	monkey|bot gives channel operator status to andre
Dec 19 05:01:28 <srag>	We had release 2.21.4 on Monday and as per the discussion on e-h list, the trunk version is bumped to be later than the tarball version
Dec 19 05:02:11 <srag>	Also, we have the UI/String announce in place, and so while approving patches/committing make sure that it is announced accordingly
Dec 19 05:03:00 <srag>	We are having 2.12.3 on Jan 7th. It will be the last stable release for 2.12 series and just see if there are any bugs that are left  to be ported/committed to that branch
Dec 19 05:03:12 <srag>	Apart from that...
Dec 19 05:03:43 <srag>	I'm hoping that we would commit ashish's patch (After review/rework) before feature freeze (Custom header for sending mails)
Dec 19 05:03:52 <srag>	No other feature should be getting in
Dec 19 05:04:26 <srag>	I have committed Non-intrusive errors to trunk as part of 2.21.4 and I hope that I would receive feedbacks so that we can improve it much before the UI freeze
Dec 19 05:04:53 <srag>	Another important thing that we need to address is to either fix "Summary mismatch" or make a working work-around for hta
Dec 19 05:05:00 <srag>	s/hta/that
Dec 19 05:05:19 <srag>	We need to take that fast, I'm thinking of 2.21.5
Dec 19 05:05:46 <srag>	thatz it from my side
Dec 19 05:05:53 <srag>	andre, anything to share with us?
Dec 19 05:06:04 <andre>	nope
Dec 19 05:06:23 <srag>	andre, we would be having atleast one stacktrace-hackfest during this cycle.
Dec 19 05:06:43 <srag>	andre, nice if you have a list of fixable bugs ;-) in 2.12 (I know you have)
Dec 19 05:06:46 <andre>	that's good, but you will need more ;-)
Dec 19 05:06:54 <srag>	"atleast one" :)
Dec 19 05:07:11 <srag>	abharath, anything to share with us?
Dec 19 05:07:17 <andre>	just query bugzilla for bugs with STACKTRACE keyword. there should be enough crashes for everybody :)
Dec 19 05:07:33 <abharath>	srag: nothing much. just hoping for a server setup by the weekend
Dec 19 05:07:50 <srag>	yeah... but if there is a much shorter list to take first... might be great... anyway.. it is ok.
Dec 19 05:07:53 <srag>	abharath, ok.
Dec 19 05:08:07 <srag>	abharath, anything on PST side?
Dec 19 05:08:47 <abharath>	srag: nothing much. want to complete smart card first
Dec 19 05:08:50 <srag>	AJA, is away, I guess
Dec 19 05:09:01 <srag>	ashish, anything to share with us?
Dec 19 05:09:13 <ashish>	srag, nothing much... i'm started working on to implement server side rules.
Dec 19 05:09:21 <srag>	ashish, server side rules?
Dec 19 05:09:40 <srag>	ashish, make sure that the custom headers is committed before anything else
Dec 19 05:09:44 <srag>	ashish, which backend?
