Feb 06 11:05:20 <srag>	Hello everyone
Feb 06 11:05:30 *	psankar (~evo@125.16.129.16) has joined #evolution-meet
Feb 06 11:05:33 <srag>	We are having 2.21.91 on Monday
Feb 06 11:05:50 <srag>	with that we would hit string freeze and I would like everyone to have  a watch on the strings
Feb 06 11:06:00 <srag>	schooms, I assume you work with andre to complete your patch.
Feb 06 11:06:11 <schooms>	yeah.. will do
Feb 06 11:06:12 <srag>	mcrha, I want you to pass on the meeting logs to mbarnes :)
Feb 06 11:06:20 <jony>	srag: that includes doc too ? 
Feb 06 11:06:21 <srag>	since he isn't there today
Feb 06 11:06:29 <srag>	jony, doc is exempted from it
Feb 06 11:06:34 <mcrha>	sure srag, hi all
Feb 06 11:06:40 <jony>	oh oki . 
Feb 06 11:06:43 <srag>	jony, we should have the first code drop for 2.21.91
Feb 06 11:06:51 <srag>	jony, verify with radhika and commit it asap
Feb 06 11:06:59 <jony>	srag: k. 
Feb 06 11:07:09 <srag>	Otherwise I hope that most of us are with crashers/critical bug fixes
Feb 06 11:07:43 <srag>	at Novell, some of us might be busy on some customer issues, but that also will be in line for 2.21.91 IMHO
Feb 06 11:08:12 <srag>	Great news that we were below 50 unreviewed patches for the first time
Feb 06 11:08:26 *	psankar claps
Feb 06 11:08:32 *	schooms congratulates all the patch-reviewers :)
Feb 06 11:08:34 <srag>	and I'm sure that we would get over that 50 to <just recent ones> asap
Feb 06 11:08:56 <srag>	I had that as a target for the team during my guadec talk and thanks every one for supporting me well.
Feb 06 11:09:05 <abharath>	that's awesome :)
Feb 06 11:09:38 <srag>	Otherwise, I'm just starting the planning for the 2.24 and feel free to email me if you have some ideas/suggestions
Feb 06 11:10:01 *	jony suggests that we have a 'codename' for 2.24 :) 
Feb 06 11:10:03 <psankar>	srag, no 2.24 plaannign wiki ?
Feb 06 11:10:11 <srag>	psankar, I said, I would be doing it :)
Feb 06 11:10:12 <psankar>	*planning*
Feb 06 11:10:24 <psankar>	srag, oh okay that way... got it
Feb 06 11:10:25 <srag>	jony, last time also you suggested.. but you never took it forward
Feb 06 11:10:34 *	psankar suggested Darwin then
Feb 06 11:10:40 <jony>	srag: ah .. will come up with one .
Feb 06 11:10:52 <srag>	find one and propose. It will be nice IMO
Feb 06 11:11:04 *	jony takes it up .. 
Feb 06 11:11:07 <srag>	I think we are having a good amount of bug fixes this time..
Feb 06 11:11:19 <srag>	lets keep the momentum till the HC Freeze
Feb 06 11:11:35 <srag>	and also watch out the pending patches with freezes in mind
Feb 06 11:11:39 <srag>	thatz it from my side
Feb 06 11:11:47 <srag>	abharath, anything to share with us?
Feb 06 11:11:54 <psankar>	srag, libsoup related crashers are all gone ?
