Apr 09 06:05:13 <srag_>	Hello every one
Apr 09 06:05:23 <mcrha>	hello srag_ ;)
Apr 09 06:05:26 <srag_>	We just released 2.22.1 on Monday
Apr 09 06:05:48 <srag_>	and we have 2.23.1 on April 21
Apr 09 06:05:56 <srag_>	and I hope that all of us are pretty busy on that
Apr 09 06:06:43 <srag_>	I hope that the new composer and schooms cool recent manager integration is gonna be the target thing for 2.23.1.. 
Apr 09 06:07:03 <schooms>	:)
Apr 09 06:07:45 <srag_>	Also Im also chatting with the guy 	Matthias Braun
Apr 09 06:07:52 <srag_>	for the webdav addressbook thing
Apr 09 06:08:24 <srag_>	I reviewed the initial code and I felt positive about the code and Im sure that if we get that to trunk and get adequate testing that can be another great thing to have in 2.24
Apr 09 06:08:54 <srag_>	I mailed him about our meeting today morning.. Im not sure if he saw the maill. I wanted him to join the meeting and we can discuss his plans also here
Apr 09 06:09:32 <srag_>	Apart from that.. we are back to 80's in terms of patches and I would like to get that below 50 and a lot of that depends on Chen's work load ;-)
Apr 09 06:09:46 <srag_>	but by Guadec, we should be none IMO
Apr 09 06:09:49 <srag_>	s/we/it
Apr 09 06:10:04 <srag_>	Thatz it from my side...
Apr 09 06:10:10 <srag_>	abharath, anything to share with us ?
Apr 09 06:10:37 <abharath>	srag_: nothing much this week. just working on some issues.
Apr 09 06:10:44 <srag_>	abharath, look into the issues andre pointed out.. 
Apr 09 06:10:44 <mcrha>	srag_, there are some really really old patches, will someone update them?
Apr 09 06:10:56 <abharath>	srag_: yes i would be doing that
Apr 09 06:11:31 <srag_>	mcrha, I think most of them are kept due to some issues like not agreeing with the user/patch...
Apr 09 06:11:46 <srag_>	mcrha, I think if we take proper decision there, it would be better before updating them
Apr 09 06:12:00 <mcrha>	srag_, sure, I agree
Apr 09 06:12:04 <srag_>	abharath, also there are some threads on exchange stability... just follow and be active there
Apr 09 06:12:07 <srag_>	mcrha, :)
Apr 09 06:12:17 <srag_>	ashish, anything to share with us?
Apr 09 06:12:23 <ashish>	srag_, nothing much ....started working with server side rules....
Apr 09 06:12:31 <srag_>	abharath, get Exchange regressed on 64bit machine more
Apr 09 06:12:40 <srag_>	ashish, ok. Get your patch committed
Apr 09 06:12:42 <srag_>	before this week
Apr 09 06:12:48 <srag_>	you need to close that with Sankar
Apr 09 06:12:55 <srag_>	ashish, it can't skip any more
Apr 09 06:12:58 <ashish>	srag_, sure...
Apr 09 06:13:02 <srag_>	chen, anything to share with us ?
Apr 09 06:13:10 <chen>	srag_: I would be getting into patch reviews from tomorrow
Apr 09 06:13:19 <srag_>	chen, that would be awesome...
Apr 09 06:13:22 <jony>	ashish, if there is a UI, i would like to look at it before it getz in .. if u dont mind :) 
Apr 09 06:13:23 <chen>	srag_: just got the blocker issue fixed and committed now
Apr 09 06:13:45 <srag_>	chen, saw that and commit it for trunk/stable also :)
Apr 09 06:13:47 <ashish>	jony, sure....:)
Apr 09 06:13:49 <chen>	srag_: sled-sp2 blocker to be specific w.r.t memory buildup in addressbook
Apr 09 06:13:53 <srag_>	chen, how is your cache thing coming ip ?
Apr 09 06:14:02 <srag_>	s/ip/up
Apr 09 06:14:03 <chen>	srag_: sure will get it committed to trunk and stable
Apr 09 06:14:19 <srag_>	chen, what is the target for the cache rewrite
Apr 09 06:14:20 <chen>	srag_: ah, I have spoke about it with federico
Apr 09 06:14:29 <srag_>	nice..
Apr 09 06:14:29 <chen>	and we might get it done through summer of code
Apr 09 06:14:41 <srag_>	but would that skip 2.24 then ?
Apr 09 06:14:51 <srag_>	It might be a bit late.. isn't it ?
Apr 09 06:14:54 <chen>	srag_: I hope no
Apr 09 06:14:59 <srag_>	I wish so :)
Apr 09 06:15:18 <srag_>	jony, anything to share with us ?
Apr 09 06:15:29 <jony>	srag_,  Samba 4 alpha3 build is successful and libmapi build is going on (As we speak) . We still have to resolve licensing (**risk risk**).  Once the build is done , i'll start concentrating in finishing up the features. 
Apr 09 06:15:30 <chen>	srag_: me too :), I will get in touch with federico and let you know on the precise dead lines
Apr 09 06:15:30 *	kandepu (~tester@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Apr 09 06:16:22 <srag_>	jony, cool.
Apr 09 06:16:26 <jony>	& NEWS : Exchange protocol docs are opened. Julien mentioned that there is some legal issue, so I would advice people in MAPI development not to look at them until i get some clarification. And in our last evo-meet, we had queries on MAPI. i think julien's has given very clear answers :) 
Apr 09 06:16:34 <srag_>	jony, are we looking at a updated release with 0.7 mapi?
Apr 09 06:16:41 <jony>	srag_, yep. 
Apr 09 06:16:56 <srag_>	jony, announce to the list... once you are done
Apr 09 06:17:03 <srag_>	kandepu, anything to share with us ?
Apr 09 06:17:05 <jony>	srag_, sure .. would do that .
Apr 09 06:17:10 <srag_>	thx jony 
