**** BEGIN LOGGING AT Wed Jun 11 11:02:40 2008

Jun 11 12:05:55 <srag>	hello guys
Jun 11 12:06:45 <srag>	We have 2.23.4 on monday and I want all of you to have a glance at the patches for it
Jun 11 12:06:54 <jony>	mcrha: http://cr.yp.to/smtp/ehlo.html
Jun 11 12:06:55 <srag>	feel free to cross boundaries if you are confident :)
Jun 11 12:07:12 <mcrha>	srag, what kind of glance?
Jun 11 12:07:13 <srag>	jony, :)
Jun 11 12:07:26 <mcrha>	jony, * BYE [ALERT] ehlo not supported
Jun 11 12:07:28 <srag>	mcrha, look at the unreviewed and see if you can review and help the module
Jun 11 12:07:34 <jony>	hehe 
Jun 11 12:07:50 <mcrha>	srag, hmm
Jun 11 12:07:52 <srag>	mcrha, feel free to review the pending list, if its not by you :)
Jun 11 12:08:02 *	mcrha hides
Jun 11 12:08:08 <srag>	:)
Jun 11 12:08:29 <mcrha>	I will look, I promise
Jun 11 12:08:42 <srag>	Me and sankar are tied up with disk summary and looks like it is going smooth
Jun 11 12:08:55 <srag>	we have local/imap up and running under disk summary 
Jun 11 12:09:09 <srag>	feel free to move yourself to that branch, and help us fix issues :)
Jun 11 12:09:09 <psankar>	imap is not fully done yet though
Jun 11 12:09:20 <psankar>	but we welcome poeple to use that branch :-)
Jun 11 12:09:22 <srag>	thx to jony for volunteering to write the migration
Jun 11 12:09:30 <jony>	srag: yep ! 
Jun 11 12:09:33 <psankar>	hey.... All hail jony 
Jun 11 12:09:37 <srag>	psankar, I assume that you will commit it by EOD :)
Jun 11 12:09:48 <psankar>	srag, yeah. Let me see. 
Jun 11 12:09:53 <psankar>	hopefully should be done
Jun 11 12:10:26 <srag>	Im trying various things with vfolders, to see, if I can make it super fast.
Jun 11 12:10:45 <srag>	Can anyone take up the job to see if "Unmatched" vfolder is that useful ?
Jun 11 12:11:02 <srag>	by killing that I can cut ~50% memory requirements
Jun 11 12:11:22 <jony>	( power users may complain . )
Jun 11 12:11:34 <psankar>	*will complain* ;-)
Jun 11 12:11:37 <srag>	apart from that, abharath is going good with Evo on Windows
Jun 11 12:11:40 <mcrha>	I think I saw someone using it. rather ask on mailing list I think
Jun 11 12:12:19 <srag>	mcrha, right. I want to delegate it as, I tend to forget all the 9/10 things I have by doing just 1/10 (disk summary core thing)
Jun 11 12:12:54 *	schooms sees the effects of manager-training ;)
Jun 11 12:12:56 *	shashish (~shashish@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
