Jul 16 05:57:28 <jony>	hello all .. 
Jul 16 05:58:25 <chen>	I think we can get started
Jul 16 05:58:39 *	lakhil (~lakhil@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Jul 16 05:58:49 <chen>	We have a lot of updates this week!!!
Jul 16 05:58:59 <chen>	Myself, srag and jony were in GUADEC last week and it was just great!!
Jul 16 05:59:15 <jony>	hey hey mbarnes , mcrha .. miseed u guyz @ GUADEC :)
Jul 16 05:59:18 <chen>	We meet a lot of people there. andre, guenther, miguel, jpr, meeks, jrb and many others and it was a great experience for me and jony who were the frist timers.
Jul 16 05:59:21 *	seb128 (~seb128@yttrium.canonical.com) has joined #evolution-meet
Jul 16 05:59:34 <chen>	yeah we really missed matt and milan during GUADEC :(
Jul 16 05:59:58 <chen>	Disk summary talk from srini and exchange 2007 from jony went great!! Srini quoted milan as a "patch bot" for evolution :-) The only project hosting a patch bot!!
Jul 16 06:00:17 *	psankar agrees
Jul 16 06:00:32 *	abharath claps
Jul 16 06:00:43 *	lakhil joins :)
Jul 16 06:00:56 *	mcrha gets kinda broken last days+
Jul 16 06:00:58 <chen>	We also got some inputs from a community guy (forgot) his name about optimized storage of tables in sqlite
Jul 16 06:01:26 <chen>	mcrha, we were planning to smuggle you for the next GUADEC atleast ;)
Jul 16 06:01:42 <chen>	It was surprising to hear that even jrb has not met you yet ;)
Jul 16 06:01:53 <jony>	yeah .. we got a nod from jrb .. ;-)
Jul 16 06:02:06 <chen>	Another great update which happened in GUADEC was about the licencing change
Jul 16 06:02:10 <mcrha>	psssst, that's my policy, do not say it anywhere :)
Jul 16 06:02:10 <psankar>	chen, awesome. It will be nice to have some expert opinion on our db things
Jul 16 06:02:14 <chen>	We also announced the licensing change for evolution during jony talk and also in the mailings lists.
Jul 16 06:03:03 <chen>	Quoting the announcement here,
Jul 16 06:03:05 <chen>	* Drop Evolution copyright assignments and make it really easy to contribute to Evolution
Jul 16 06:03:06 <chen>	• Move Evolution licensing to  "LGPL v2 and LGPL v3" to let us re-use the code more easily around the platform.  This also moves us closer to Thunderbird's MPL/LGPL model. 
Jul 16 06:03:34 <psankar>	The license change is a welcome one. And this should help us get more plugins. Many of hte authors whom I contributed were reluctant earlier because of the copyright restricitons.
Jul 16 06:03:36 <chen>	This is just great for us. This should help us in getting many plugins for evolution, 
Jul 16 06:03:43 <psankar>	yup. exactly :-)
Jul 16 06:03:52 <chen>	and also would help us in evolution-mapi release
Jul 16 06:04:05 <chen>	Thanks a lot for meeks who was guiding all the while regarding the same.
Jul 16 06:04:18 <chen>	psankar, would be a very happy person now :)
Jul 16 06:04:23 <psankar>	:-)
Jul 16 06:04:35 <chen>	We also met Jorgan (author for google contacts patch) from nokia. We discussed about his patch and srag has already approved patch. Jorgan will be fixing bugs in that in his spare time
Jul 16 06:04:35 <chen>	if anything comes up...
Jul 16 06:04:37 *	pvanhoof (~pvanhoof@d54C0C06D.access.telenet.be) has joined #evolution-meet
Jul 16 06:04:53 <chen>	Another update :)
Jul 16 06:04:57 <chen>	Sankar and srini have merged  (or in progress now)  the disk summary branch to trunk now. So be ready to have a go at it :-)
Jul 16 06:05:10 <psankar>	Yes. in progress. 
Jul 16 06:05:20 <chen>	Thjis is all the interesting updates we have 
Jul 16 06:05:24 <psankar>	Getting bitten by some branch merge issues
Jul 16 06:05:30 <chen>	psankar, ok
Jul 16 06:05:46 <chen>	Just an update on the freezes coming up,
Jul 16 06:05:59 <chen>	Please commit  the patches with UI changes and string changes as the string/UI change announce period is commencing on Jul 22nd. Else you would have to send a email to doc and translation team when you commit any patch with the changes in string/UI.
Jul 16 06:06:29 <chen>	am sure mcrha would not like sending mails to the w.r.t string/.UI changes to the mailing list ;-)
Jul 16 06:06:38 <mcrha>	yup
Jul 16 06:06:39 <chen>	We have freezes for API/ABI coming up on Jul 29th. So commit the relevant patches before the date.
Jul 16 06:06:40 <chen>	Feature freeze is on August 5th. UI freeze on Aug 19th. We have sometime for string freeze september 2nd.
Jul 16 06:07:21 <chen>	From my side, am writing c# bindings for the calendar backends first and hoping to get it in fast enough.
Jul 16 06:07:21 <chen>	Will be getting all the pending patches.
Jul 16 06:07:38 <chen>	thats all from my side
Jul 16 06:08:02 <chen>	GUADEC was just great and it was special for me and jony this time :)
Jul 16 06:08:08 <jony>	:)
Jul 16 06:08:19 <chen>	lets go around the room now,
Jul 16 06:08:29 <chen>	abharath, any updates ?
Jul 16 06:08:42 <abharath>	chen: Been working with some scripts for Evo on windows. Works great.
Jul 16 06:08:52 <chen>	abharath, thats awesome!!
Jul 16 06:08:59 <abharath>	chen: finished a nice darling feature (Templates plugin). Would get it reviewed by psankar and mbarnes and get it in for this release. Things going good.
Jul 16 06:09:18 <chen>	abharath, wow!! great work!!
Jul 16 06:09:25 <psankar>	abharath, that is an awesome feature and highly useful while sending release mails etc.
Jul 16 06:09:26 <lakhil>	abharath, great ...will be really useful for release team :)
Jul 16 06:09:38 <psankar>	and not to mention : in corporate environment as well ;-)
Jul 16 06:09:46 <chen>	abharath, prolly if your adding new strings, get it reviewed from andre too
Jul 16 06:09:58 <abharath>	I personally like it a lot. lets hope everyone enjoys the work equally
Jul 16 06:10:01 <chen>	ashish, any updates ?
Jul 16 06:10:14 <abharath>	chen: Not many strings in there. But ya would get a nod from him as well
Jul 16 06:10:21 <ashish>	chen, ya....i'm working on Non-intrusive error dialog thing for addressbook and calendar, it is in progress...
Jul 16 06:10:41 <chen>	abharath, since lakhil mentioned about release team, you can have other reasons too :)
Jul 16 06:10:49 <chen>	ashish, cool
Jul 16 06:10:52 <abharath>	:D
Jul 16 06:10:53 <chen>	jony, ?
Jul 16 06:10:58 <jony>	ashish: when are we gonna see that in trunk ? 
Jul 16 06:11:12 <jony>	chen: just back from GUADEC. getting back into MAPI .. nothing much .. :) 
Jul 16 06:11:33 <chen>	yeah i know that :)
Jul 16 06:11:38 <chen>	lakhil, ?
Jul 16 06:11:46 <ashish>	jony, soon......i've plan to complete in this week.....
Jul 16 06:11:48 <lakhil>	chen, bug triaging and some patch testing ..that's all 
Jul 16 06:12:03 <jony>	ashish: cool. so monday release .. nice .. 
Jul 16 06:12:12 <chen>	lakhil, cool
Jul 16 06:12:42 <ashish>	jony, sure.....i'll try...lets see...:)
Jul 16 06:12:46 <chen>	mbarnes, we really missed in GUADEC and we requested that to jrb too ;)
Jul 16 06:12:58 <chen>	*missed you
Jul 16 06:13:07 <chen>	mbarnes, any updates?
Jul 16 06:13:14 <mbarnes>	chen: thanks
Jul 16 06:13:22 <mbarnes>	So, while you kids were in Turkey, I started a new branch: kill-bonobo
Jul 16 06:13:35 <mbarnes>	I have officially begun removing Bonobo from Evolution.
Jul 16 06:13:35 <mbarnes>	There's already a patch to migrate CompEditor to GtkUIManager (bug #542125).
Jul 16 06:13:35 <mbarnes>	And right now I'm rewriting the shell to use GTypeModule and GtkUIManager.
Jul 16 06:13:35 <mbarnes>	With any luck, I think I might actually have this done by 2.25.1 or .2.
Jul 16 06:13:37 <chen>	mcrha, it was the same with you too. But we are having some interesting plans for you
Jul 16 06:13:50 <jony>	mbarnes: awesome ! 
Jul 16 06:13:53 <abharath>	awesome :) /me and mcrha love it :)
Jul 16 06:13:56 <chen>	mbarnes, thats great!!
Jul 16 06:14:14 <chen>	we are all expecting to get the bonobo things aways asap
