Aug 20 12:03:00 <srag>	Hello guys
Aug 20 12:03:12 <seb128>	hey srag
Aug 20 12:03:22 <srag>	We had 2.23.90 released on monday and 2.23.90.1 for e-d-s
Aug 20 12:03:24 <chen>	hi srag 
Aug 20 12:03:25 <srag>	hey seb128 
Aug 20 12:03:42 <srag>	literally I had to rush the release for e-d-s before it breaks more mboxes
Aug 20 12:04:17 <srag>	but otherwise, disk summary is better now (with some more issues pending)
Aug 20 12:04:39 <srag>	I might be benchmarking the memory/speed of 2.24 with old version and try to share some data on it
Aug 20 12:04:51 <srag>	how fast/slow and light/heavy we are now
Aug 20 12:05:14 <srag>	but definitely this should be fast, as I have heard some random inputs 
Aug 20 12:05:25 *	plaes (~plaes@ns.store20.com) has joined #evolution-meet
Aug 20 12:05:26 <srag>	apart from the newness (issues) it brings in
Aug 20 12:05:42 <srag>	thx for all the testers and fixes
Aug 20 12:06:06 <srag>	next week is Novell Hackweek and most of us might be idle, or busy
Aug 20 12:06:13 <mcrha>	does anybody else than you and psankar fixes things there? ;)
Aug 20 12:06:29 <srag>	mcrha, of course you did a few and plaes did one iirc :)
Aug 20 12:06:31 *	mcrha can be idle if requested
Aug 20 12:06:48 <mcrha>	oh, do not count me :)
Aug 20 12:06:51 <srag>	mcrha, Im not your manager ;-)
Aug 20 12:07:08 <mcrha>	yeah, that's right :)
Aug 20 12:07:27 <srag>	thre are some regressions in MVC, disco->offline folder which chen is taking up
Aug 20 12:07:49 <srag>	apart from that, I dont see a huge blocker for 2.23.x
Aug 20 12:08:03 <chen>	srag, yeah
Aug 20 12:08:04 <srag>	ping me, shout to me, if you see something, that I dont see :)
Aug 20 12:08:19 <srag>	lets go around the channel
Aug 20 12:08:24 <srag>	andre, anything to share with us ?
Aug 20 12:08:48 <srag>	abharath, anything to share with us ?
Aug 20 12:09:17 <abharath>	srag: Just got 2.23.90 working on Windows. Installers due in sometime
