Nov 19 05:00:22 <srag>	Hello guys, 
Nov 19 05:00:38 <srag>	most of us are pretty busy with bugs, I assume
Nov 19 05:00:44 <srag>	except that jony has some nice things to share with us
Nov 19 05:00:56 <srag>	I handpicking bugs for 2.24.2
Nov 19 05:01:01 <srag>	which is due monday
Nov 19 05:01:06 <psankar>	srag, that means jony  is not busy ;-)
Nov 19 05:01:11 <jony>	;-)
Nov 19 05:01:29 <srag>	psankar, I dont say that ;-), but if it means so, I dont care :)
Nov 19 05:01:37 <psankar>	:-)
Nov 19 05:02:00 <srag>	Nothing great to share other wise
Nov 19 05:02:05 <srag>	jony, you want to go first?
Nov 19 05:02:14 <jony>	srag, yep. 
Nov 19 05:02:16 *	jony pastes 
Nov 19 05:02:21 <jony>	srag, NEWS :created new repository for evolution-mapi (sent announce mail to the lists) || started to work on fixing bugs. Julien would be contributing patches for moving to libmapi 0.8 
Nov 19 05:02:48 <jony>	Will be creating a bugzilla component for 'evolution-mapi' .. and makefiles are kludgy now .. patches are welcome :)
Nov 19 05:03:12 <srag>	I have proposed it to the release team already and having some discussions on having samba4 (alpha5/6) and libmapi (trunk/0.8) as external dependency for 2.26
Nov 19 05:03:42 <srag>	and we are yet to propose the inclusion of evolution-mapi, the deadline is friday and this would go may be today/tomorrow
Nov 19 05:03:53 <srag>	but, the stage is all set for that
Nov 19 05:04:02 <psankar>	jony, srag, so mapi provider gonna follow same numbering convention as evo releases ? (/me was confused by 2.26)
Nov 19 05:04:02 <jony>	:)
Nov 19 05:04:14 <jony>	psankar, for sometime we'll go with 0.x .. 
Nov 19 05:04:20 <srag>	release team is positive for the inclusion + external dependency
Nov 19 05:04:24 <jony>	psankar, then we'll sync it with gnome releases .
Nov 19 05:04:27 <srag>	psankar, we might just share the minor version
Nov 19 05:04:34 <srag>	0.25.x
Nov 19 05:04:47 <srag>	to make it easier for people to go with
Nov 19 05:04:47 <psankar>	okay 
Nov 19 05:04:51 <psankar>	yeah.
Nov 19 05:04:54 <srag>	no major very bump other wise
Nov 19 05:05:18 <srag>	bugzilla yet to be setup
Nov 19 05:05:31 <srag>	and we will have a OpenSUSE buildserver project/daily snapshots from there on
Nov 19 05:05:51 <srag>	debian/ubuntu build helps would be welcome. I never made them before
Nov 19 05:06:12 <srag>	we mostly would have opensuse, fedora, mandriva (jony right?)
Nov 19 05:06:24 <jony>	srag, yep .. will be attempting on debs :) 
Nov 19 05:06:30 <srag>	awesome
Nov 19 05:06:39 <srag>	thatz the bigger update.
Nov 19 05:06:45 <srag>	we can go around the channel
Nov 19 05:06:48 <mcrha>	windows too?
Nov 19 05:06:49 <srag>	abharath, anything to share with us ?
Nov 19 05:07:01 <srag>	mcrha, we need to see, we haven't discussed it yet
Nov 19 05:07:03 <abharath>	srag: nothing much. been working on some bugs and packaging.
Nov 19 05:07:13 <abharath>	srag: Will try to get in PST Import asap
Nov 19 05:07:13 <mcrha>	srag, ok
Nov 19 05:07:15 *	You are now known as mbarnes
Nov 19 05:07:23 <srag>	but people were wondering why to use OpenChange's libmapi when mapi32.dll would be available natively
Nov 19 05:07:25 <psankar>	mcrha, nope opensuse buildservice does not handle windows builds (exe)
Nov 19 05:07:28 <abharath>	It should make into 2.25.2
Nov 19 05:07:30 <srag>	specially on windows
Nov 19 05:07:40 <srag>	atleast Tor(tml) asked it so, on some discussion
Nov 19 05:08:03 *	mcrha noticed him.someone talking about that too
Nov 19 05:08:08 <srag>	yep.
Nov 19 05:08:11 *	psankar keeps quiet
Nov 19 05:08:21 <srag>	so, windows is kept open for now
Nov 19 05:08:29 <mcrha>	psankar, not for long ;)
Nov 19 05:08:32 <jony>	mcrha, but openchange / samba4 can be ported with little or no effort :) 
Nov 19 05:08:49 <psankar>	:)
Nov 19 05:08:50 <srag>	but, otherwise, kick abharath if he misses a windows release for every unstable/stable release
Nov 19 05:08:58 <abharath>	srag: :)
Nov 19 05:08:59 <srag>	he was efforted for that ;-)
Nov 19 05:09:08 <mcrha>	jony, hopefully. Just add to one-click setup of the develop environment you did
Nov 19 05:09:19 <srag>	abharath, we must get PST to trunk
Nov 19 05:09:19 <abharath>	srag: its well on track. going very nice
Nov 19 05:09:31 <srag>	that would be nice.
Nov 19 05:09:32 <abharath>	srag: 2.25.2. a week in advance
Nov 19 05:09:38 <srag>	sure
Nov 19 05:09:49 <srag>	ashish, any updates for us ?
Nov 19 05:09:55 <ashish>	srag, nothing much. me working on bugs...
Nov 19 05:10:20 <srag>	ashish, ok. and congrats in advance for your marriage
Nov 19 05:10:33 <ashish>	srag, thanks a lot :)
Nov 19 05:10:46 <srag>	chen, anything to share with us ?
Nov 19 05:11:00 <chen>	srag, nothing much, just working on dice
Nov 19 05:11:03 *	srag is sure that mcrha gonna ask chen  on some or other patch review status ;-)
Nov 19 05:11:19 <chen>	:)
Nov 19 05:11:38 <mcrha>	nono, rather not :)
Nov 19 05:11:49 <srag>	chen, just close some important patches, atleast the one I gave you an hour back
Nov 19 05:11:53 <srag>	:)
Nov 19 05:11:59 <srag>	jony, anything to share with us ?
Nov 19 05:12:01 <chen>	done :)
