Nov 26 11:04:25 <srag>	Hello every one
Nov 26 11:04:39 <srag>	we just released 2.24.2 and having 2.25.2 next week
Nov 26 11:04:58 <srag>	some issues fixed, still vfolder counts problematic and I should be looking at it next week
Nov 26 11:05:21 <srag>	psankar, if your migration starts working, and vfolders better, I would go for a 2.24.2.1 release may be in a few weeks
Nov 26 11:05:31 <srag>	thatz the general update
Nov 26 11:05:49 <psankar>	srag, I just havent read about the user feedback for my migration code. and today morning
Nov 26 11:05:56 <psankar>	srag, got some more clues for 
Nov 26 11:05:59 <srag>	I know that
Nov 26 11:06:04 <psankar>	srag, improving the migration . I shall 
Nov 26 11:06:08 <srag>	nice, sure
Nov 26 11:06:21 <psankar>	srag, update by giving the complete patch by 2 days max
Nov 26 11:06:23 <srag>	chen, anything to share with us ?
Nov 26 11:06:30 <srag>	psankar, cool
Nov 26 11:06:48 <chen>	srag, nothing much. just been working dice..
Nov 26 11:06:52 <srag>	ok.
Nov 26 11:06:56 <srag>	jony, howz mapi up there?
Nov 26 11:07:01 <srag>	we got a svn, bugzilla
Nov 26 11:07:10 *	psankar needs to run now. shall bbl
Nov 26 11:07:12 <srag>	keep it active :)
Nov 26 11:07:15 <srag>	psankar, ok
Nov 26 11:07:16 *	psankar has quit (psankar)
Nov 26 11:07:17 <jony>	srag, yep .. new bugzilla product "evolution-mapi"
Nov 26 11:07:25 <jony>	srag, fixing bugs .. 
Nov 26 11:07:29 <srag>	jony, sure
Nov 26 11:07:37 <srag>	jony, we need to have quick builds on MAPI
Nov 26 11:07:42 <jony>	srag, btw .. i'll try to get the builds running by this weekend 
Nov 26 11:07:43 <jony>	:) 
Nov 26 11:07:48 <srag>	so that we develop to work with different cfgs
Nov 26 11:07:52 <srag>	cool.
Nov 26 11:07:58 <srag>	kandepu, anything to share with us ?
Nov 26 11:08:21 <srag>	lakhil, anything to share with us ?
Nov 26 11:08:28 <lakhil>	lakhil, testing dice and some exchange stuff
Nov 26 11:08:30 <kandepu>	srag, nothing much, busy in sle11 testing
Nov 26 11:08:37 <srag>	lakhil, and aadvance congratulations for you marriage
Nov 26 11:08:45 <lakhil>	thanks :)
Nov 26 11:08:49 <srag>	lakhil, we are gonna miss your bug activity for the next 3 weeks approx
Nov 26 11:09:01 <srag>	I got some proposal from people to shorten your leaves ;-)
Nov 26 11:09:18 <lakhil>	please don't do that  :)
Nov 26 11:09:22 <srag>	:)
Nov 26 11:09:23 <jony>	hehe 
Nov 26 11:09:28 <srag>	mcrha, anything to share with us ?
Nov 26 11:09:35 <mcrha>	hi, got some (un)usual work on bugs. But I have one question for you (the plular you, the team), what do you think if I take care of the caldav calendar backend myself? I mean committing things there without approval/review? It involves also a setup plugin in evo code, but should be fine, I hope. I asked gicmo about that and he said he's fine.
Nov 26 11:10:03 <mcrha>	also, I miss the crasher review from psankar, it should be in .2, but it didn't get it.
