Jan 28 05:25:09 <jony>	hello  ... 
Jan 28 05:25:27 <jony>	srag is down with cold / throat infection .. so he'll be offline for few days 
Jan 28 05:25:46 <jony>	s/offline/partially offline 
Jan 28 05:26:05 <jony>	just a reminder .. we have UI freeze on 2nd . 2.25.90 is also due on 2nd 
Jan 28 05:26:41 <jony>	and as srag said we'll  go ahead with the extra stable releases as scheduled . 2.24.4 .on 30th jan. 
Jan 28 05:27:04 <jony>	thatz all the updates i got . .. letz go around the room .. 
Jan 28 05:27:21 <jony>	abharath, updates .. ? 
Jan 28 05:28:30 <abharath>	jony: Bug fixing. also looking into the windows builds. Me and Fridrich syncing up for the builds
Jan 28 05:28:36 <jony>	abharath, cool .
Jan 28 05:28:40 <jony>	abharath, any timeline on that ? 
Jan 28 05:28:52 <jony>	since we are closing in on *.9x  .. 
Jan 28 05:28:52 <abharath>	The builds are awesome :)
Jan 28 05:29:21 <msuman>	abharath: is this on OBS?
Jan 28 05:29:22 <mmeeks>	abharath: the ~only missing piece is packaging it nicely ;-)
Jan 28 05:29:30 <abharath>	jony: We will release only stable builds for now. so 2.24.4 should have one
Jan 28 05:29:45 <jony>	abharath, ah .. makes sense. 
Jan 28 05:30:00 <abharath>	mmeeks: the packaging with NSIS is delicious ;) we'll follow it up with some nice scripts
Jan 28 05:30:19 <abharath>	already shared my scripts with Fridrich. we'll bundle it out soon
Jan 28 05:31:02 <jony>	nice abharath ! chen, would you like to share anything ? 
Jan 28 05:31:21 <chen>	jony, have got most of the patches reviewed during the last couple of weeks,  will need to discuss with mcrha on couple more left and fixing some bugs from bnc now
Jan 28 05:31:40 *	mcrha (almost) ready
Jan 28 05:31:46 <jony>	chen, cool . happy reviewing :) (i know you enjoy it a log :) )
Jan 28 05:31:48 <jony>	hehe .. 
Jan 28 05:31:59 <chen>	mcrha, after the meeting :)
Jan 28 05:32:16 *	mcrha not sure if will be fully ready, but sure :)
Jan 28 05:32:25 <jony>	hggdh, would you like to share anything ? .. 
