Mar 18 06:05:31 <srag>	Hello guys,
Mar 18 06:05:45 <srag>	we have successfully :-) released Evolution 2.26
Mar 18 06:05:50 <seb128>	hello
Mar 18 06:05:54 <seb128>	congrats on 2.26!
Mar 18 06:06:22 <srag>	as many people pointed out 2.26 is more of a maintenance release for 2.24
Mar 18 06:06:29 <mcrha>	does it mean it's branched too?
Mar 18 06:06:31 <srag>	and Im sure, it would turn good.
Mar 18 06:06:34 <srag>	mcrha, nope
Mar 18 06:06:38 <mcrha>	ok
Mar 18 06:06:44 <srag>	we would hold the branch
Mar 18 06:06:59 <mcrha>	ok, just no commits to trunk yet
Mar 18 06:07:03 <srag>	you can commit anything except, UI/String. API doesn't apply much to us
Mar 18 06:07:24 <srag>	mcrha, got it ?
Mar 18 06:07:38 <srag>	and I have some cool things on plate  to be shared :-)
Mar 18 06:07:42 <mcrha>	but if I want to commit to trunk only, then bad luck, so no commits yet
Mar 18 06:08:01 <srag>	mcrha, like ?
Mar 18 06:08:05 <srag>	didnt get you
Mar 18 06:08:29 <mcrha>	some pending patches, as I can break builds more these days, I would like to push, but safely to trunk only.
Mar 18 06:09:04 <srag>	mcrha, ok. such things should wait.
Mar 18 06:09:11 <srag>	but we can see if they are so :-)
Mar 18 06:09:12 <mcrha>	yup, I see
Mar 18 06:09:25 <srag>	but we want everything to go to trunk, to make it more stable
Mar 18 06:09:41 <srag>	ok, now on to the news part :-)
Mar 18 06:09:48 <mcrha>	everything sound interesting :)
Mar 18 06:10:00 <srag>	I announce the birth of a new project called 'Anjal'
Mar 18 06:10:20 <nyjo>	(drum rolls)
Mar 18 06:10:30 <srag>	a lite-mailer clone of Evolution, optimized for netbooks
Mar 18 06:10:46 <srag>	this something thatz keeping me busy for the last 2-3 weeks :-)
Mar 18 06:10:56 <srag>	hosted at http://git.gnome.org/cgit/anjal
Mar 18 06:11:12 <srag>	http://www.gnome.org/~sragavan/anjal-conv-latest.png & http://www.gnome.org/~sragavan/anjal-live-ml-latest.png some recent screenshots
Mar 18 06:11:20 <srag>	adn http://www.gnome.org/~sragavan/ has some more screenshots
Mar 18 06:11:24 <srag>	and its buildable.
Mar 18 06:11:41 <srag>	Its a client on top of Evolution, EDS, Webkit
Mar 18 06:11:48 <srag>	Webkit for message rendering
Mar 18 06:11:59 <srag>	it runs Evo's cache & plugins [ideally]
Mar 18 06:12:41 <seb128>	srag: wouldn't it make sense to work on splitting the evolution components rather than writting a new software?
Mar 18 06:12:59 <srag>	and all the good-ness like webkit integration would be merged with Evolution and the ui would be refreshed.
Mar 18 06:13:01 <seb128>	srag: webkit -> means you don't use gtkhtml? any plan to do that for evolution itself too?
Mar 18 06:13:17 <srag>	so, when 2.28 comes out, Evolution would have webkit
Mar 18 06:13:28 <srag>	infact, in 2.27.1/2 Evolution should use webkit
Mar 18 06:13:31 <seb128>	good
Mar 18 06:13:34 <srag>	as a option
Mar 18 06:13:51 <srag>	seb128, the dynamics are different for netbook/mobiles wrt the general Evolution case
Mar 18 06:14:03 <srag>	from screen resolution till memory, CPU
Mar 18 06:14:13 <mcrha>	did I see properly you've there some sort of conversation view?
Mar 18 06:14:23 <srag>	mcrha, yep.
Mar 18 06:14:26 <seb128>	srag: do you plan to get emails in e-d-s?
Mar 18 06:14:35 <mcrha>	will that be merged back to evo too?
