pr 08 06:06:20 <srag_>	hello again
Apr 08 06:06:43 <srag_>	we are approaching 2.26.1 and branching for 2.26 by monday
Apr 08 06:07:09 <srag_>	Im on official vacation atm, but getting in some of the regression fixes
Apr 08 06:07:21 <srag_>	which are still left from disk summary
Apr 08 06:07:30 <srag_>	most probably I would have unmatched search folder for 2.26.1
Apr 08 06:07:41 <srag_>	and also the timed-db-vaccuum
Apr 08 06:08:07 <srag_>	unmatched vfolder may bring  in some issues, which we would fix as we go
Apr 08 06:08:22 <srag_>	also, I have started on patches, should be done pretty soon
Apr 08 06:08:36 *	chen (~chen@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Apr 08 06:08:49 <srag_>	Anjal is coming up well.
Apr 08 06:09:08 <srag_>	I donno, but 1. or .2 I should have *optional* webkit rendering for Evolutoin
Apr 08 06:09:26 <srag_>	it just depends on when I finish the *full* webkit rendering for Anjal.
Apr 08 06:09:35 <srag_>	Once done, it should be a just a back port to Evolution
Apr 08 06:09:44 <EvaSDK>	cool
Apr 08 06:09:58 <srag_>	we still won't be looking at webkit for editing, 
Apr 08 06:10:17 <srag_>	its very primitive without gobject/DOM interface in webkit
Apr 08 06:10:28 <srag_>	once that is done, Evo should kick out gtkhtml completely
Apr 08 06:10:36 <mcrha>	does it mean rendering for mail only? or memo/task preview too?
Apr 08 06:10:55 <srag_>	mcrha, mail is tough, rest should be pretty easy IMO
Apr 08 06:11:09 <srag_>	so it means for all
Apr 08 06:11:33 <mcrha>	ok
Apr 08 06:11:42 <srag_>	Im still reviewing the 3.0 plan, and we might have to take alot from there, plan it accordingly
Apr 08 06:11:54 <srag_>	Im waiting to finish my vacation and get back to work on monday to do all of them
Apr 08 06:12:14 <srag_>	but its a nice plan IMO, given that we have  a year for 3.0, we can do nice with in that
Apr 08 06:12:28 <srag_>	credits to the release-team
Apr 08 06:12:35 <srag_>	Thatz it from my side
Apr 08 06:12:40 <srag_>	abharath, anything to share with us ?
Apr 08 06:13:15 *	mcrha wonders how many people will get rid of deprecated stuff in evo*
Apr 08 06:13:24 <abharath>	srag_: Been working on Anjal. Committed all my changes to the inline-composer branch. Onto the accnt editor now
Apr 08 06:13:30 <srag_>	abharath, cool.
Apr 08 06:13:42 <srag_>	mcrha, donno, but Evo carries a lot of those stuff :(
Apr 08 06:13:53 <mcrha>	yeah, that's why I wonder
Apr 08 06:14:08 <srag_>	libgnomecanvas deprecation hits hard for Calendar (?) & Addressbook I guess
Apr 08 06:14:23 <mcrha>	definitely, partly ETable as well?
Apr 08 06:14:29 <seb128>	you can still use libgnomecanvas probably
Apr 08 06:14:33 <srag_>	hmm, not exactly etable
Apr 08 06:14:47 <seb128>	moving away from libbonobo is a good GNOME3 step though ;-)
Apr 08 06:14:48 <srag_>	I saw there was a discussion on that
Apr 08 06:14:53 <chen>	oh libgnomecanvas deprecates.
Apr 08 06:14:54 <andre>	(i still can't find reasons in the archives why gnomecanvas was deprecated, sorry for that, but i guess that former r-t's had their reasons) :-/
Apr 08 06:15:11 <seb128>	I doubt gnomecanvas is really an issue as said
Apr 08 06:15:16 <seb128>	that might be still discussed
Apr 08 06:15:26 <chen>	ok
