Apr 22 06:04:51 <srag>	Hello guys
Apr 22 06:05:01 <jony>	hello . 
Apr 22 06:05:12 <srag>	last week we had 2.26.1 released
Apr 22 06:05:22 <srag>	and then another .1 went a few days
Apr 22 06:05:26 <srag>	later for the missed fixes
Apr 22 06:05:30 <srag>	thx for jony for the help
Apr 22 06:05:38 <jony>	:)
Apr 22 06:05:42 <srag>	I was on *official* leave for the last 2 weeks or so
Apr 22 06:05:54 <srag>	though, I had some good time to fix some old regressions
Apr 22 06:06:03 <srag>	vfolder of vfolders, unmatched vfolders are back now
Apr 22 06:06:19 <srag>	vfolder of vfolders is still a patch, waiting on bugzilla to be committed to git
Apr 22 06:06:27 <srag>	but Im tracking down on the pending regressions
Apr 22 06:06:53 <andre>	the cant expunge trash ticket is still open, and gets lotsa dups :-/
Apr 22 06:06:54 <srag>	another pending thing is that Im working to get the auto-vaccuum
Apr 22 06:07:07 <srag>	andre, yeah Im watching it :(
Apr 22 06:07:26 <srag>	andre, I definitely have tried a lot on it.
Apr 22 06:07:28 <seb128>	srag: is unmatched really working? I didn't update to .1.1 for jaunty because the bug comments were suggesting the code has issues 
Apr 22 06:07:36 <srag>	seb128, there is a hand
Apr 22 06:07:39 <srag>	s/hand/hang
Apr 22 06:07:42 <srag>	which I fixed on monday or so
Apr 22 06:07:52 <srag>	and lakhil put the patch on my behalf
Apr 22 06:07:56 <srag>	seb128, it should be working
Apr 22 06:08:07 <srag>	atleast for me, but Im no power user of vfolders
Apr 22 06:08:11 <seb128>	did you read the recent bug comments?
Apr 22 06:08:16 <srag>	so I need lots of testing. and ready to fix it
Apr 22 06:08:19 <srag>	lakhil, has it 
Apr 22 06:08:20 <srag>	lakhil, ?
Apr 22 06:08:30 *	srag saw the bug and fixed it in lakhil's machine
Apr 22 06:08:41 <lakhil>	bug 579360
Apr 22 06:08:48 <srag>	seb128, which bug comments ?
Apr 22 06:08:55 <srag>	seb128, # ?
Apr 22 06:08:59 *	jony has the fix. and it is working (checking again ) 
Apr 22 06:09:16 <srag>	and git is still broken, and Matt is tracking it, (though hez on travel)
Apr 22 06:09:28 <srag>	I wish I would have good time to move to git and do the monday's release
Apr 22 06:09:48 <srag>	seb128, ?
Apr 22 06:09:57 <seb128>	srag: http://bugzilla.gnome.org/show_bug.cgi?id=556116
Apr 22 06:10:25 <seb128>	srag: comment #35
Apr 22 06:10:31 *	jony has unmatched vfolders working . 
Apr 22 06:10:54 <srag>	seb128, part of it might be due to the internal hang that I fixed
Apr 22 06:11:03 <seb128>	srag: which is not in the tarball right?
Apr 22 06:11:08 <srag>	it doesn't lock the UI but locks the vfolder threads/updates
Apr 22 06:11:10 <srag>	seb128, its not
Apr 22 06:11:20 <srag>	seb128, the patch is in 579360
Apr 22 06:11:27 <seb128>	ok, so I think I will not update jaunty to .1.1 or not without this change
Apr 22 06:11:34 <srag>	sure seb128 
Apr 22 06:11:40 <seb128>	thanks
Apr 22 06:11:59 <srag>	hmm, I would like to get these to some power users to get some testing and so I can fix more, if there are more such things
Apr 22 06:12:04 <srag>	seb128, upto you :)
Apr 22 06:12:24 <srag>	and Anjal is doing fine, which takes my *office* hours
Apr 22 06:12:45 <srag>	I would be merging webkit rendering may be next week or so on Evolution
Apr 22 06:12:56 <srag>	it is nice, but it would be an optional rendering
Apr 22 06:13:10 <srag>	It might break caret mode etc
Apr 22 06:13:14 <srag>	Its not fully done
Apr 22 06:13:33 <srag>	but to be taken  later on
Apr 22 06:13:46 <srag>	need to check if Webkit is in the external deps or no
Apr 22 06:13:51 <srag>	dont remember it
Apr 22 06:13:55 <srag>	if not, would aks for it
Apr 22 06:14:15 <srag>	I need to sit down on the 3.0 items,
Apr 22 06:14:25 <srag>	too many thing at hand.. would do this week I guess
Apr 22 06:14:31 <srag>	thatz it from my side
Apr 22 06:14:37 <srag>	andre, anything to share with us ?
Apr 22 06:14:58 <andre>	nope
Apr 22 06:15:29 <srag>	abharath, anything for sharing with us ?
Apr 22 06:16:02 <abharath>	srag: Been working on a patch to suit the changes for libpst 0.6.37 with that version the APIs should be stabilized
Apr 22 06:16:18 <srag>	nice
Apr 22 06:16:26 <abharath>	srag: Apart from that some bugs and looking into the External Editor rework by Holger
Apr 22 06:16:28 <srag>	abharath, when are you pushing i t in
Apr 22 06:16:32 <srag>	abharath, cool
Apr 22 06:16:38 <abharath>	It looks cool. so will integrate it once its all done
Apr 22 06:16:42 <srag>	thx
Apr 22 06:16:48 <abharath>	srag: maybe a couple of days
Apr 22 06:16:48 <srag>	jony, anything to share with us ?
Apr 22 06:16:56 <srag>	abharath, thx
Apr 22 06:17:22 <jony>	srag, nothing much .. starting to work on MAPI again . 
Apr 22 06:17:33 <mcrha>	abharath, I guess the external editor rewrite overlaps with some changes I did some time ago, doesn't it?
Apr 22 06:17:35 <jony>	mostly held up with internal tasks . 
Apr 22 06:17:45 <srag>	jony, nice
Apr 22 06:17:49 <abharath>	mcrha: ya looks so. But not much
Apr 22 06:18:01 <srag>	jony, we should b e updating version of libmapi
Apr 22 06:18:04 <srag>	on the external deps
Apr 22 06:18:10 <jony>	srag, right .. thatz on my todo .. 
Apr 22 06:18:11 <abharath>	mcrha: BUt your patch would fix the problems with a lot other plugins
Apr 22 06:18:14 <srag>	jony, cool
Apr 22 06:18:20 <mcrha>	abharath, aha, I resent a patch yesterday, maybe you noticed :)
Apr 22 06:18:25 <srag>	lakhil, anything for us ?
Apr 22 06:18:31 <abharath>	mcrha: yup I did :)
Apr 22 06:18:46 <mcrha>	abharath, hopefully on a review plan ;)
Apr 22 06:18:47 <lakhil>	srag, built kill-bonobo branch and testing it out , reported some bugs
Apr 22 06:18:57 <lakhil>	srag, built openchange 0.8.2 and looking for memory fixes 
Apr 22 06:19:05 <srag>	thx lakhil 
Apr 22 06:19:05 <lakhil>	with exchange -mapi 
Apr 22 06:19:12 <srag>	Infact I played with KB, its awesome
Apr 22 06:19:16 <srag>	kudos to mbarnes|away :-)
