Jul 22 06:02:01 <chen>	lets get started!
Jul 22 06:02:14 *	seb128 (~seb128@ANancy-258-1-53-2.w90-39.abo.wanadoo.fr) has joined #evolution-meet
Jul 22 06:02:15 <chen>	we have 2.27.5 release coming on monday
Jul 22 06:02:36 <seb128>	hi
Jul 22 06:02:41 <chen>	and feature freeze starts then. if you have any features to be committed, get them in by this week
Jul 22 06:02:43 <chen>	hey seb128 
Jul 22 06:03:08 *	andre gives channel operator status to chen mbarnes
Jul 22 06:03:20 <chen>	we will also be branching around couple of weeks time for 2.27 as we discussed before
Jul 22 06:03:37 <chen>	jony, please update us on the eds-dbus-addressbook port..
Jul 22 06:03:59 <chen>	once thats merged we should be ready for branching
Jul 22 06:04:21 <jony>	okies .. so i fixed a two bugs 
Jul 22 06:04:36 <jony>	now google addressbook seems toe be working good . 
Jul 22 06:04:41 <jony>	and groupwise testing is going on . 
Jul 22 06:04:52 <chen>	nice!!
Jul 22 06:04:54 <jony>	and almost there with groupwise .. 
Jul 22 06:04:56 <chen>	what about exchange ?
Jul 22 06:05:07 <jony>	chen: that is yet to be done .. probably by tonight .. 
Jul 22 06:05:22 <chen>	jony, great
Jul 22 06:05:26 <jony>	i think by this weekend addressbook would be working with dbus . 
Jul 22 06:06:00 <varadhan>	jony, excellent!
Jul 22 06:06:01 <chen>	so shall we then go for merging dbus-hybrid branch after 2.27.5 release is over..
Jul 22 06:06:07 <chen>	?
Jul 22 06:06:40 <chen>	jony, ^
Jul 22 06:06:44 <jony>	chen before .5 .. right ? 
Jul 22 06:07:10 <jony>	thanks varadhan :) just looking into eds for some fun :)
Jul 22 06:07:12 <chen>	jony, if you can get that working sure..
Jul 22 06:07:20 <chen>	i mean on all backends 
Jul 22 06:07:31 <jony>	chen: gimme a day .. i'll let you know .. 
Jul 22 06:07:38 <chen>	fine
Jul 22 06:07:58 <chen>	updates from my side,
Jul 22 06:08:28 <chen>	Calendar cache rewrite done. Have a patch which ports groupwise,caldav, weather and http backends which is currently being tested. I will be committing the patch today or tomorrow after getting a nod from lakhil, mcrha 
Jul 22 06:08:51 <chen>	Reivewed GSoc patches, it still has some missing files and some re-work needs to be done. I will be provding the entire list of comments to stanislav and we will be taking the patch for 3.0 once its re-worked
Jul 22 06:09:07 <chen>	updated the sqlite version minimum version to 3.6.16 in external dependency for gnome-2.27.x..
Jul 22 06:09:21 <chen>	yet to start on a thread in e-h list regarding bugzilla cleanup.. 
Jul 22 06:09:51 <chen>	i also wanted to list all the active hackers who will be involved in patch-reviews mapping with components
Jul 22 06:10:17 <chen>	prolly we will discuss it after the meeting, though we are clear on some components, it would be better to have it published
Jul 22 06:10:37 <lakhil>	chen, is it possible to file bug on gsoc work (if it doesn't affect gsoc process) so we can also see updates ? 
Jul 22 06:11:01 <chen>	lakhil, yup i have asked stanislav to file a bug and upload the patches there
Jul 22 06:11:08 <lakhil>	cool
Jul 22 06:11:22 <chen>	lakhil, since i don have the entire patch yet, am waiting. but can still raise a bug :-)
Jul 22 06:11:40 <chen>	lets go around to the room to gather updates..
Jul 22 06:11:46 <lakhil>	oh .. missing files :(
Jul 22 06:11:50 <chen>	andre, anything to share..
Jul 22 06:12:35 <chen>	mbarnes, updates for us?
Jul 22 06:12:50 <mbarnes>	almost finished migrating kill-bonobo from libglade to GtkBuilder
Jul 22 06:12:50 <mbarnes>	then it's on to get the calendar working as quickly as possible
Jul 22 06:13:11 <chen>	mbarnes, awesome!!
Jul 22 06:13:39 <chen>	mbarnes, understand its really a lot of changes for migrating to gtkbuilder
Jul 22 06:13:40 <andre>	congrats
Jul 22 06:14:01 <chen>	abharath, updates ?
Jul 22 06:14:28 <abharath>	chen: been onto the native GAL for MAPI. Planning to push it in for this release
