May 19 11:33:42 <chen>	Lets get started then..
May 19 11:33:59 <chen>	To go with the project updates to start with,
May 19 11:34:11 <chen>	2.31.2 release is coming up on may 24. It would be really good if we can remove some of the long standing patches reviewed and off the list and absorb the ones which would be helpful for the release.. Going further abharath would be taking 
May 19 11:34:12 <chen>	the responsibility for reviewing the contacts component patches..
May 19 11:34:57 <chen>	and going with the important announcement now..
May 19 11:35:19 <chen>	am happy to announce that mcrha and abharath have stepped up to take the maintainership for evolution-mapi !! jony would be contributing to evolution mostly in his free time available..
May 19 11:35:38 <chen>	congrats mcrha and abharath :) thanks too!!
May 19 11:35:46 <Fridrich>	congrats
May 19 11:35:48 <mbarnes>	yay!!
May 19 11:36:02 *	seb128 (~seb128@ANancy-258-1-117-253.w90-56.abo.wanadoo.fr) has joined #evolution-meet
May 19 11:36:12 <chen>	jony was not able to join us today, but am sure he would for the next meeting..
May 19 11:36:14 <mcrha>	yay yay, right :)
May 19 11:36:15 <liam_>	Congrats... :-)
May 19 11:36:17 <abharath>	Thanks all
May 19 11:36:49 <chen>	going with the guadec update,
May 19 11:37:00 <chen>	http://live.gnome.org/GUADEC/2010/Schedule/Main - has the tentative schedule and evolution talk appears on the first day..
May 19 11:37:22 <chen>	so make sure you are there on the first day :)
May 19 11:38:03 <chen>	Have just updated one of the tasks (imap multiple connections)  with an expected milestone to the Evolution 3.0 plan, we would be updating more tasks there by end of this week or early next week with the respective owners for the same..
May 19 11:38:12 <chen>	checkout - http://live.gnome.org/Evolution/Planning30 
May 19 11:38:56 <chen>	we would be tracking this during our meetings to make sure they get in on the expected milestones..
May 19 11:39:25 <chen>	Going further we would have the monthly community meetings every third Wednesday, the next one on June 16h..
May 19 11:39:56 <chen>	we just wanted to have a smaller frequency so that we could share more data and have some agenda set for the meetings..
May 19 11:40:09 *	Fridrich is running to pick the kids
May 19 11:40:14 <chen>	We will put something like http://en.opensuse.org/GNOME/Meetings/ on the meeting times and agendas hence forth..
May 19 11:40:59 <abharath>	hmmm ok
May 19 11:41:03 <chen>	so thats what is going on and if anyone has any queries go on..
May 19 11:41:14 <chen>	before we start on the status updates..
May 19 11:41:35 <chen>	to update from my side,
May 19 11:42:14 <chen>	have been primarily involved in gathering all the requirements for evolution 3.0 and getting a buy in from the management for allocating resources on them..
May 19 11:42:40 <chen>	we have finalized on the tasks and would be updating the planning wiki by early next week with the assigned owners..
May 19 11:43:00 <chen>	have started on implementing multiple connections for imap..
May 19 11:43:10 <chen>	thats it from my side.
May 19 11:43:12 <chen>	abharath, updates?
May 19 11:43:27 <abharath>	chen: last week been working majorly on FreeBusy for MAPI
May 19 11:43:42 <abharath>	some issues to fix on the openchange side. will be looking at them in more detail
May 19 11:43:45 <chen>	abharath, howz it coming up ?
May 19 11:44:00 <chen>	abharath, would be great if you can update the planning wiki with the information..
May 19 11:44:06 <abharath>	chen: so far good. needs some things fixed on the openchange side
May 19 11:44:22 <chen>	abharath, fine
May 19 11:44:28 <abharath>	chen: and been planning for MAPI. I'll talk with mcrha and update the planning page accordingly
May 19 11:44:36 <chen>	andre, anything to share?
May 19 11:44:40 <andre>	nope
May 19 11:44:45 <chen>	abharath, that would be great!!
May 19 11:44:53 <chen>	Fridrich, are you back ? :)
May 19 11:45:06 <chen>	hggdh, anything to share?
May 19 11:45:23 <abharath>	chen: his kids wouldn't allow him to be back this early ;)
May 19 11:45:46 <chen>	abharath, yeah i see it :)
May 19 11:45:55 <chen>	jjardon, anything to share?
May 19 11:46:12 <chen>	jonner, anything to share?
May 19 11:46:19 <chen>	jpunit, updates?
May 19 11:46:31 <hggdh>	evo 2.30 has already been added to Maverick (Ubuntu+1)
May 19 11:46:48 <chen>	hggdh, wow nice :)
