Jun 16 11:29:47 <chen>	Lets get started!!
Jun 16 11:29:55 <chen>	To start with the project updates,
Jun 16 11:30:07 <chen>	we had the 2.31.3 release last week
Jun 16 11:30:27 <chen>	some notable changes over the last month were,
Jun 16 11:30:34 <chen>	non-vfolder trash and junk folders in imap
Jun 16 11:30:42 <chen>	* GSSAPI authentication made to work with imapx
Jun 16 11:31:08 <chen>	* GSEAL related changes..
Jun 16 11:31:16 <chen>	* libgnomecanvas and libart_lgpl embedded into evolution sources.
Jun 16 11:31:27 <chen>	* fixes for the gtk3 issues
Jun 16 11:31:34 *	mcrha|eat is now known as mcrha
Jun 16 11:31:39 <chen>	* SOCKS5 proxy support (merged from express branch)
Jun 16 11:31:46 <chen>	* global view settings for all folders
Jun 16 11:31:59 <chen>	Mapi had some good adds as well,
Jun 16 11:32:10 <chen>	* FreeBusy support
Jun 16 11:32:17 <chen>	* Allow Copy/Move mails with public folders
Jun 16 11:32:24 <chen>	* ssl support in mapi
Jun 16 11:32:35 <chen>	* multipart/appledouble attachment support
Jun 16 11:33:10 <chen>	abharath, mcrha mbarnes please add if i have missed any..
Jun 16 11:33:34 <chen>	Next interesting update is about the hackweek which happened in Novell last week,
Jun 16 11:33:36 <mbarnes>	I dropped our gnome-pilot support yesterday
Jun 16 11:33:43 *	mcrha is just a monkey, abharath knows better
Jun 16 11:33:45 <chen>	mbarnes, thats awesome!!
Jun 16 11:33:54 <abharath>	mcrha: :P
Jun 16 11:33:57 <chen>	mbarnes, ur patch got absorbed in gnome-pilot?
Jun 16 11:34:04 <chen>	lol
Jun 16 11:34:12 <mbarnes>	not yet, but it had to go
Jun 16 11:34:23 <chen>	mbarnes, yup agree
Jun 16 11:34:50 <chen>	many people from other projects worked on some cool features in evo, summarizing some of them,
Jun 16 11:34:57 <chen>	* IM integration - https://bugzilla.gnome.org/show_bug.cgi?id=621515
Jun 16 11:35:15 <chen>	* Twitter integration - to provider twitter updates and to sharing interesting mail threads.
Jun 16 11:35:24 <chen>	* Importing filters rules from thunderbird
Jun 16 11:35:39 <chen>	* integrate maps with the event location and with contacts in address-book - https://bugzilla.gnome.org/show_bug.cgi?id=621516.
Jun 16 11:35:57 <chen>	am sure there were more people working on, but haven got much information about them..
