Jul 14 11:32:07 <chen>	ok lets get started..
Jul 14 11:32:17 <chen>	starting with project updates,
Jul 14 11:32:38 <chen>	we have two unstable dot releases 2.31.4 and .5 during the last month
Jul 14 11:32:54 <chen>	A summary of significant changes and we would also hear more specifically during individual updates,
Jul 14 11:33:17 <chen>	+ loads of imapx fixes from dwmw2 who is truely awesome!!
Jul 14 11:33:26 <chen>	+ gtk3 compat fixes
Jul 14 11:33:35 <chen>	+ eds backend api changes for GError and similar pruning with CamelException
Jul 14 11:33:52 <chen>	+ imapx multiple connections
Jul 14 11:34:09 <chen>	and now the freezes are getting started :)
Jul 14 11:34:27 <chen>	string/UI change announcement period has started from July 12th,
Jul 14 11:34:44 <chen>	any addition of strings or change in UI should be announced to doc and translation teams
Jul 14 11:35:06 <chen>	and other freezes which come next month and dates to be noted,
Jul 14 11:35:30 <chen>	Aug 02 - Feature, API/ABI freeze updates
Jul 14 11:35:48 <chen>	Aug 16 - UI freeze
Jul 14 11:35:53 <chen>	Aug 30 - String freeze
Jul 14 11:36:19 <chen>	abharath, do you want to summarize mapi updates ? :)
Jul 14 11:36:57 <abharath>	chen: well Milan has been fixing most of the bugs. I have been working on exchange2ical
Jul 14 11:37:11 <abharath>	 just changed it to a shared library for Evolution to use.
Jul 14 11:37:11 <abharath>	Evolution can now fetch the ical directly using the library,
Jul 14 11:37:35 <abharath>	Also had a chat with the openchange developers. They were kind enough, and agreed to make 0.9.x releases for openchange till 0.10 is out
Jul 14 11:37:48 <abharath>	So I and mcrha would be working to provide them with a list of patches to backport
Jul 14 11:37:50 <chen>	abharath, thats a welcome relief 
Jul 14 11:38:09 <chen>	abharath, and would be good if you provide some info on,
Jul 14 11:38:23 <chen>	significance of exchange2ical and issues that it would solve..
Jul 14 11:38:30 <dwmw2>	can I use exchange2ical standalone?
Jul 14 11:38:32 <abharath>	and in 0.31.4 we committed Public calendar/task/address book support in mapi by jpunit
Jul 14 11:38:41 <abharath>	dwmw2: yes very much
Jul 14 11:38:53 <dwmw2>	cool. I have calendar files from ews I need to convert :)
Jul 14 11:39:00 <abharath>	dwmw2: :)
Jul 14 11:39:15 <chen>	abharath, thanks!!
Jul 14 11:39:31 <chen>	we would be makng another stable dot  release, but we haven't yet decides on the dates. It will,
Jul 14 11:39:41 <chen>	be announced in e-h list once its decided..
Jul 14 11:40:06 <chen>	we were having a discussion on having a package such as,
Jul 14 11:40:25 <chen>	evolution-collab-backends which can hold all the collab backends such as,
Jul 14 11:40:36 <chen>	groupwise, exchange, mapi etc.
Jul 14 11:40:47 <chen>	any views on that ?
Jul 14 11:41:00 <dwmw2>	why have them in evolution-collab instead of evolution-data-server?
Jul 14 11:41:30 <chen>	dwmw2, evolution-data-server has too many dependencies and to push frequent updates,
Jul 14 11:41:45 <chen>	it troubles with triggerring compilation for all those packages
Jul 14 11:42:03 <dwmw2>	so putting them into a combined evo-collab package only makes it a *little* bit nastier, and not as *much* nastier as if it was all in e-d-s? :)
Jul 14 11:42:20 <dwmw2>	having them separate, you can do separate releases (and build) as you like
Jul 14 11:42:47 <chen>	dwmw2, the release cycles would be the same as far as GNOME releases are considered
Jul 14 11:42:58 <chen>	just helps with packaging in distros and,
Jul 14 11:43:10 <dwmw2>	does it really?
Jul 14 11:43:12 <chen>	another aspect is that eds will look more like just the library
Jul 14 11:43:31 <dwmw2>	I would have thought the distro would rather have them separate... at least in separate *binary* packages so t he users can choose which to install.
Jul 14 11:43:36 <chen>	dwmw2, yup at-least with suse, but not sure on other distros
Jul 14 11:44:08 <chen>	dwmw2, you mean split up as evo-groupwise, evo-exchange etc. ?
Jul 14 11:44:12 <dwmw2>	yeah
Jul 14 11:44:19 <abharath>	right that is better
Jul 14 11:44:28 <chen>	dwmw2, and btw do you recommend moving all the backends into eds back?
Jul 14 11:44:44 <abharath>	splitting them up separately, it might be easier for the packagers and users that way
Jul 14 11:44:50 <chen>	dwmw2, exchange, groupwise (has not moved out), mapi etc.
Jul 14 11:45:02 *	Muelli has quit (Read error: 104 (Connection reset by peer))
Jul 14 11:45:07 <abharath>	but packagers can still split it up with writing better spec files maybe :)
Jul 14 11:45:13 <chen>	abharath, dwmw2 is speaking about splitting while packaging,
Jul 14 11:45:22 <chen>	not maintaining as separate packages
Jul 14 11:45:28 <dwmw2>	chen: I have no particular preference either way. I'm just confused that anyone would argue for a half-way-house
Jul 14 11:45:30 <chen>	abharath, so the code resides in eds iiuc
Jul 14 11:45:34 <dwmw2>	I see the attraction of splitting them up
Jul 14 11:45:44 <dwmw2>	and I see some (perhaps less) in putting it all back into e-d-s
Jul 14 11:46:33 <chen>	dwmw2, so,
Jul 14 11:46:38 <chen>	am a bit confused :)
Jul 14 11:47:00 <chen>	dwmw2, iiuc your saying having all the code in eds would be better ?
Jul 14 11:47:21 <chen>	and leave it for packagers to split them up while packaging in the distros ?
Jul 14 11:47:34 <dwmw2>	chen: I'm saying I don't really care if it's all in e-d-s, or if it's all separate; I just don't see the point in an evo-collab collection
Jul 14 11:47:51 <abharath>	+1
Jul 14 11:48:06 <dwmw2>	given that we're doing time-based releases in sync with gnome, the biggest advantage to separation is gone. So yeah, on balance I suppose we might as well keep it all in e-d-s
Jul 14 11:48:07 <chen>	dwmw2, the problem with separate is that they might become un-maintained over a period of time..
Jul 14 11:48:23 <dwmw2>	it's not as if it's hard for packagers to make a single source package  spit out multiple binary packages
Jul 14 11:48:27 <dwmw2>	chen: indeed.
Jul 14 11:48:51 <dwmw2>	on balance, I think merging them into eds is the better option.
Jul 14 11:49:06 <dwmw2>	if I change something, I'll grep for the callers that are affected
Jul 14 11:49:12 <dwmw2>	if they're not in the same git tree, I'll ignore them
Jul 14 11:49:27 <chen>	dwmw2, absolutely
Jul 14 11:49:50 <chen>	dwmw2, i just have a packaging question though, prolly i will clear it later
