Sep 15 11:33:27 <chen>	Lets get started!
Sep 15 11:33:53 <chen>	Starting with project updates,
Sep 15 11:34:09 <chen>	We just had the 2.32.92 release this monday and 2.32.0 release is on Sep 27
Sep 15 11:34:35 <chen>	master branch is void of all freezes and absorbing commits already
Sep 15 11:34:46 <lakhil>	chen, 2.31.92 :)
Sep 15 11:34:53 <chen>	mbarnes had formed the planning page
Sep 15 11:34:59 <chen>	oops sorry :)
Sep 15 11:35:07 <chen>	http://live.gnome.org/Evolution/Planning234 for 2.34 release
Sep 15 11:35:18 <chen>	and i have added some contents there
Sep 15 11:35:39 <chen>	please feel free to add if there is anything more to be included or modified
Sep 15 11:36:00 <chen>	http://live.gnome.org/Evolution/MergeExpress has some features listed from express mode,
Sep 15 11:36:08 <chen>	that has to be merged with the base evolution
Sep 15 11:36:46 <chen>	It also collects some low hanging fruits like good UI changes which could be made,
Sep 15 11:37:08 <chen>	to improve the user experience, please add more of those which would improve the initial user experience
Sep 15 11:37:28 <chen>	though we have many customizations, some of our defaults seems to be bad
Sep 15 11:37:46 <chen>	just picked them up based on some blogs and conversatino with jony 
Sep 15 11:38:10 <chen>	http://live.gnome.org/Evolution/EWS has more detailed plan on what we need,
Sep 15 11:38:32 <chen>	to do for making EWS better 
Sep 15 11:38:51 <chen>	realizing from the learning which we have had  from other providers
Sep 15 11:39:10 <chen>	it would require more api additions which we are yet to mention there
Sep 15 11:39:31 <jony>	chen: would be awesome if we can move to gnome git.
Sep 15 11:39:38 <chen>	All these links above are in the process of construction, please edit them
Sep 15 11:39:40 <mcrha>	will there be the merge of ema and eex (and a new ews) to one product, or is it still opened question?
Sep 15 11:39:47 <chen>	jony, right
Sep 15 11:39:48 <abharath>	jony: +1
Sep 15 11:39:52 <chen>	abharath, do you want to do that?
Sep 15 11:40:08 <abharath>	chen: yup planning on that once I have a little more work pushed in
Sep 15 11:40:14 <chen>	mcrha, do we want to merge them ?
Sep 15 11:40:20 <jony>	mcrha: you mean just keep source code together .. or actually merge ?
Sep 15 11:40:29 <mcrha>	chen, that's about your proposal of evoluton-collab, isn't it?
Sep 15 11:40:35 <chen>	abharath, it can be started parallely isn it?
Sep 15 11:40:50 <abharath>	chen: yeah sure. will initiate that this week
Sep 15 11:40:55 <jony>	abharath: you can push the same history into gnome git.
Sep 15 11:40:58 <chen>	mcrha, need to get a green from everyone on that
Sep 15 11:40:59 <mcrha>	hi jony, yup, just sources in one pack
Sep 15 11:41:11 <chen>	mcrha, it not only includes ex related stuff 
Sep 15 11:41:17 <jony>	mcrha: ah. makes sense .. atleast distro would have lesser packages to build .
Sep 15 11:41:21 <chen>	also kolab and other colloborative providers
Sep 15 11:41:33 <chen>	mcrha, what do you think on that?
Sep 15 11:41:43 <mcrha>	chen, yup, I know, gw and kolab, and... it has some advantages, apart of disadvantages I mentioned couple weeks ago
Sep 15 11:41:47 <chen>	we need to have a concensus between all of us while doing that
Sep 15 11:42:08 <chen>	mcrha, iirc the disadvantage mentioned was,
Sep 15 11:42:22 <jony>	chen: mcrha also we have to think about distributions on this . eg : package upgrades and all that . 
Sep 15 11:42:24 <chen>	that some providers might have to be pruned later due to in-activity ?
