Nov 24 16:35:37 <chen>	Lets get started..
Nov 24 16:35:47 <chen>	To start with project updates,
Nov 24 16:36:03 <chen>	We had two releases 2.91.2 and 2.32.1 over the month,
Nov 24 16:36:15 <chen>	thanks to abharath for taking up the 2.32.1 release while I was on leave.
Nov 24 16:36:43 <abharath>	no problems chen. As long as there were no issues :D
Nov 24 16:36:44 <chen>	gtk3 issues are filed with evolution[gtk3] status whiteboard and the development,
Nov 24 16:36:54 <chen>	is going on in the gtk3 branch
Nov 24 16:37:16 <chen>	i had a discussion with matt and it became clear that we cant support both,
Nov 24 16:37:26 <chen>	gtk3 and gtk2
Nov 24 16:38:05 <chen>	so once a specific gtk version is announced for gnome3, we would be merging the gtk3 branch into master
Nov 24 16:38:18 *	Corsac (~yap@pyr75-3-78-192-68-46.fbxo.proxad.net) has joined #evolution-meet
Nov 24 16:38:20 <Corsac>	hey there
Nov 24 16:38:20 <chen>	vibha and matt are working on the branch to make sure,
Nov 24 16:38:24 <chen>	we are gtk3-ready
Nov 24 16:38:26 <chen>	hey Corsac 
Nov 24 16:38:50 <chen>	http://tinyurl.com/3xk33fn  - has the list of gtk3 bugs in evo
Nov 24 16:39:04 <chen>	once we get through the compilation issues and crashers,
Nov 24 16:40:02 <chen>	akhil would be testing and filing bugs over the same..
Nov 24 16:40:14 <chen>	thats with the project updates, is there anything else that anyone wants to discuss before moving on to individual updates?
Nov 24 16:40:59 <chen>	updates from my side,
Nov 24 16:41:48 <chen>	upstreamed the maildir migration patches,
Nov 24 16:41:48 <chen>	maildir now follows the maildir++ folder hierarchy structure supporting all the features that mbox hierarchy provided along with,
Nov 24 16:42:01 <chen>	fixing some limitations which existed
Nov 24 16:42:44 <chen>	am currently working on new async apis for free/busy and default offline calendar
Nov 24 16:42:56 <chen>	abharath, updates?
Nov 24 16:43:20 <chen>	ping chen
Nov 24 16:43:25 <abharath>	chen: mostly on EWS. Been off for a week, on and off, but now back again.
Nov 24 16:43:39 <abharath>	http://git.infradead.org/evolution-ews.git has all the updates
Nov 24 16:43:47 <chen>	abharath, cool
Nov 24 16:43:50 <abharath>	I am currently working on canceling requests
Nov 24 16:43:58 <mcrha>	chen, default offline calendar?
Nov 24 16:44:03 <abharath>	and also on defining interfaces
Nov 24 16:44:22 <chen>	mcrha, yes, so am writing some interfaces to,
