Jan 26 10:29:40 <chen>	Lets get started..
Jan 26 10:30:14 <chen>	small reminder on API/ABI, Feature freeze  and 2.91.6 release coming up on Jan 31
Jan 26 10:30:54 <chen>	mbarnes, it would be nice if you can take over on discussing gtk3 front..
Jan 26 10:31:44 <mbarnes>	sure.  basically with mcrha and lakhil's consent, I'd like to merge the gtk3 branches today
Jan 26 10:32:20 <mbarnes>	so they get wider testing before we get too close to code freeze
Jan 26 10:32:38 <mbarnes>	this of course means we'll be dropping support for gtk2
Jan 26 10:33:24 *	chen waits for mcrha and lakhil to pitch in :)
Jan 26 10:33:37 *	mcrha is fine with the merge
Jan 26 10:33:50 <lakhil>	There was some problem in gtk3 build in my system so i was getting unexpected crashes. But after building sources from scratch, it seems to be working fine
Jan 26 10:33:58 *	jpunit (~punit@122.179.93.239) has joined #evolution-meet
Jan 26 10:34:08 <chen>	hey jpunit 
Jan 26 10:34:09 <lakhil>	but i haven't got enough time to execute all sanity test cases. At present i don't see any blocker bug which will be blocking us to merge the branch in master
Jan 26 10:34:31 <jpunit>	hey chen.. was having dinner 
Jan 26 10:34:44 <chen>	mbarnes, both have give a green :)
Jan 26 10:34:59 <mbarnes>	okay, I'll go ahead with it then after the meeting
Jan 26 10:35:03 <chen>	jpunit, u had just made it in time :)
Jan 26 10:35:11 <chen>	mbarnes, fine
Jan 26 10:35:13 <mbarnes>	the commits that get merged will look a bit different than what's on the branch now
Jan 26 10:35:20 <mcrha>	mbarnes, will be the gtk3 branches dropped immediately after the merge?
Jan 26 10:35:32 <mbarnes>	I've cleaned them up and reorganized them so it's easier to see what changed
Jan 26 10:35:40 <jpunit>	chen .. good thanks vibs for reminding ..
Jan 26 10:35:45 <mbarnes>	especially wrt to cairo drawing
Jan 26 10:35:58 <chen>	ok
Jan 26 10:36:18 <mbarnes>	mcrha: I was gonna wait a day just to be safe
Jan 26 10:36:23 <mcrha>	mbarnes, it reminded me, I reverted my 'save_matrix' patch today, or at least part I found and which left. Please remove it, when you have patches ready
Jan 26 10:36:33 <vibs>	jpunit: anytime ;)
Jan 26 10:36:36 <mcrha>	ok, a day sounds good
Jan 26 10:36:52 <mcrha>	or safely on monday release
Jan 26 10:37:22 <chen>	to update on the ews front in which mostly myself and abharath had been focusing on,
Jan 26 10:37:33 <chen>	mail fetching is complete
Jan 26 10:37:57 <chen>	the summaries are getting updated on all folders and mail fetching is possible. 
Jan 26 10:38:16 <chen>	The readonly support for calendar will be ready by end of this week
Jan 26 10:38:37 <chen>	and then we would be moving on with write support along with working in upstream bugs..
Jan 26 10:38:46 <chen>	http://git.infradead.org/evolution-ews.git  - has the updates..
Jan 26 10:39:00 <chen>	there might a person named,
Jan 26 10:39:20 <chen>	Pavel Ocheretny who would be working on ews front soon
Jan 26 10:39:33 <lakhil>	chen, so are we targeting ews for Evolution 3.2 ?
