Jun 29 11:35:17 <chen>	Lets get started...
Jun 29 11:35:33 <chen>	starting with project updates,
Jun 29 11:36:14 <chen>	we had evolution 3.1.2 released on jun 13 and these some notable changes that have gone in,
Jun 29 11:36:23 <chen>	+ New ECalClient/EBookClient async apis to replace ECal/EBook
Jun 29 11:36:38 <chen>	+  sqlitedb for address-book
Jun 29 11:37:02 <chen>	+ help file has been re-licensed from GFDL 1.2 to GFDL 1.3 and CC-BY-SA 3.0
Jun 29 11:37:44 <chen>	evolution 3.1.3 is due coming Monday - July 4, please ensure the patches are committed ahead so that they can get into the release..
Jun 29 11:38:25 <mbarnes>	any idea how the mallard rewrite is progressing for user docs?
Jun 29 11:38:43 <seb128>	is 3.1.3 going to be fixed to have a working wizard on gtk 3.1?
Jun 29 11:38:59 <chen>	mbarnes, abharath and lakhil were following it  up?
Jun 29 11:39:01 <seb128>	you can't add accounts on GNOME 3.1 with the current version
Jun 29 11:39:19 *	hggdh (~hggdh@83.141.95.158) has joined #evolution-meet
Jun 29 11:39:25 <mcrha>	hi seb128, (gnome) bug link?
Jun 29 11:39:28 <chen>	seb128, bug id ?
Jun 29 11:39:35 <lakhil>	chen, i think only andre was active but he couldn't spend much due to other commitments
Jun 29 11:40:04 <seb128>	https://bugzilla.gnome.org/show_bug.cgi?id=652958
Jun 29 11:40:10 <seb128>	chen, mcrha: ^
Jun 29 11:40:10 <abharath>	http://gitorious.org/evolution-docs/evolution-docs
Jun 29 11:40:14 <mcrha>	thanks seb128 
Jun 29 11:40:22 <seb128>	yw
Jun 29 11:40:23 <abharath>	that's the repo I guess
Jun 29 11:40:24 <mbarnes>	EConfig needs retooled for the new GtkAssistant design, I suspect
Jun 29 11:40:59 <chen>	abharath, thanks
Jun 29 11:41:45 <chen>	moving on..
Jun 29 11:41:59 <abharath>	A lot of pages have been committed, http://gitorious.org/evolution-docs/evolution-docs/trees/master
Jun 29 11:42:17 <chen>	ews work is going steadily. calendar pieces are getting near completion..
Jun 29 11:42:17 <abharath>	I'll check on all the pages. Andre seems to have done a lot of it
Jun 29 11:42:33 <mbarnes>	abharath: thanks!
Jun 29 11:42:47 <chen>	personal address-book caching works fine, while gal caching is almost near completion..
Jun 29 11:43:16 <chen>	thats with the general project updates..
Jun 29 11:43:33 <chen>	abharath, would be nice if you can keep an eye on it :)
Jun 29 11:43:57 <chen>	anything to discuss before we move on to individual updates ?
Jun 29 11:44:02 <abharath>	chen: okie :)
Jun 29 11:44:39 <lakhil>	Can we have some method where we can collect Evolution usage data  from users to get better idea about our user base like what type of server they use primarily, how many folders/calendars they have, which version they use similar to what was done in Banshee a year back, though i haven't asked banshee developers where they are saving the data. I hope statistics can help to plan development better. 
Jun 29 11:45:11 *	rgs (~rgs@pasanda.collabora.co.uk) has joined #evolution-meet
Jun 29 11:45:34 <lakhil>	just a thought came to mind :)
Jun 29 11:46:01 <rodrigo>	lakhil, but how do you want to collect them? by making users enable it in evolution?
Jun 29 11:46:07 <chen>	it can be done as a plugin, is it a successful method of collecting data ?
Jun 29 11:46:51 *	mcrha has a little query on a different topic too, thus when the statistic discussing is over...
Jun 29 11:46:56 <lakhil>	rodrigo, we can have option where it will completely depend on user's choice whether he wants to share or not
Jun 29 11:47:38 <lakhil>	rodrigo, many users have shared their usage related to banshee which helped developers to understand the usage better
Jun 29 11:47:47 <rodrigo>	yeah, right
Jun 29 11:48:17 <chen>	a menu item under help, maybe a good option..
Jun 29 11:48:29 <lakhil>	yep
Jun 29 11:48:38 <chen>	lakhil, how about initiating a discussion on the users-list ?
Jun 29 11:49:33 *	chen waits for lakhil to come back
Jun 29 11:49:34 <lakhil>	chen, sure, i can initiate if people (present here in meeting) think that it's a useful thing to do
Jun 29 11:49:42 <mbarnes>	more importantly, where will the data be sent to?  and how do we compile statistics from it?
Jun 29 11:50:15 <lakhil>	first i will try to collect more information about how banshee is handing
Jun 29 11:50:19 <lakhil>	*handling
Jun 29 11:51:02 <mbarnes>	if we could set up something operating on gnome.org, that might help give the appearance of legitimacy
Jun 29 11:51:59 <chen>	ai on lakhil to inquire the options :)
Jun 29 11:52:15 *	lakhil will contact gnome admin if it's possible
Jun 29 11:52:16 *	chen leaves the floor for mcrha 
Jun 29 11:52:38 <mcrha>	I noticed recently some changes in the code, around white space cleanups, and it made me wonder why doing such changes. I'm not against it completely, but making line wrapping seems to me like a very bad idea, because of couple reasons: a) this kind of changes breaks 'git blame', which is a pita; b) why to wrap on 80 letters? are we at 1980? Screen resolution is wider than taller these days, so by wrapping you are loosing information; c) grepping
Jun 29 11:52:38 <mcrha>	 for certain text, which is wrapped, forces you to open the file and check surrounding lines, which takes time
Jun 29 11:52:59 <mcrha>	and finally d) as an example: http://git.gnome.org/browse/evolution/diff/em-format/em-format.c?id=f014ab82c8107
Jun 29 11:53:15 <mcrha>	I do not know how for you, bot for me is the previous version much easier to read
Jun 29 11:53:31 <rodrigo>	yeah
Jun 29 11:53:34 <mcrha>	so, basically, my question is what the team thinks about it.
Jun 29 11:54:05 <mcrha>	I do not want quick decisions, so we can let this opened for the next meeting and think about that
Jun 29 11:54:17 <mcrha>	...meanwhile
Jun 29 11:54:51 <chen>	mcrha, i just started wrapping the code, since it looked good tbh :)
Jun 29 11:55:08 <mcrha>	I wrap lines too, but not always
Jun 29 11:55:23 <chen>	mcrha, did not think much on those lines on what you have mentioned..
Jun 29 11:55:24 <mcrha>	I'm fine with longer lines, than with shorter
Jun 29 11:55:57 <chen>	mcrha, will think about it and come back, while do any others have any preference ?
Jun 29 11:56:26 *	chen needs to definetly give some thinking due to a lack of preference actually ;)
Jun 29 11:56:30 <abharath>	I agree with mcrha. Use it wherever possible, but don't mandate it to the extent that it seems difficult/ugly to read
Jun 29 11:56:39 <mcrha>	imagine you are looking for a signal or property name by grep. it's usage is usually: binding_statement (\n"prop-name", "..."\n...); so the grep misses where it's used. Though not the best example, I agree.
