Aug 24 11:31:21 <chen>	Lets get started,
Aug 24 11:32:04 *	jpunit (~punit@122.167.83.182) has joined #evolution-meet
Aug 24 11:32:12 <chen>	I would like to start this meeting by mentioning a important phenomenon happening in India, there are very peaceful protests happening at the moment,
Aug 24 11:32:43 <chen>	by a person named Anna hazzare who is sitting on his 9th day fast against corruption drinking just water
Aug 24 11:33:08 <chen>	I was there the whole last week and was amazed to see the rising consciouness..
Aug 24 11:33:12 *	adborden1 (~aaborden@c-67-188-34-106.hsd1.ca.comcast.net) has joined #evolution-meet
Aug 24 11:33:20 <chen>	Getting started with the project updates,
Aug 24 11:33:28 *	mauricelynch (~mauricely@jfdmzpr06-ext.jf.intel.com) has joined #evolution-meet
Aug 24 11:34:04 <chen>	we had the 3.1.5 release last week and would be having another release coming monday which 3.1.90
Aug 24 11:34:16 <chen>	the freezes which are alive at the moment are,
Aug 24 11:34:23 <chen>	API, ABI, Feature freezes,
Aug 24 11:34:34 <chen>	and we are on String, UI announcement period
Aug 24 11:34:43 <chen>	Some freezes dates to keep in mind,
Aug 24 11:34:43 *	vibs has quit (Connection reset by peer)
Aug 24 11:34:52 <chen>	Aug 29 UI freeze
Aug 24 11:34:53 <chen>	Sep 05 String freeze
Aug 24 11:34:53 <chen>	Sep 19 Hard code freeze
Aug 24 11:35:14 <chen>	We had to finalize on the release date for 3.0.3
Aug 24 11:35:27 <chen>	i would like to propose the date aug 31 for the same,
Aug 24 11:35:43 *	vibs (~yvibha@122.167.69.220) has joined #evolution-meet
Aug 24 11:35:47 <chen>	i would like fix the following bug for the same,
Aug 24 11:35:53 <chen>	https://bugzilla.gnome.org/show_bug.cgi?id=655248 - gtkhtml consuming high cpu
Aug 24 11:36:08 *	mcrha is fine with the date for 3.0.3
Aug 24 11:36:24 <chen>	mbarnes, ?
Aug 24 11:36:49 <chen>	andre_, i hope ur fine with it?
Aug 24 11:37:14 <andre_>	oh sure :)
Aug 24 11:37:23 <mbarnes>	chen: worksforme.  I shall update the release assignments on the wiki
Aug 24 11:37:33 <chen>	mbarnes, cool, thanks!
Aug 24 11:38:38 <chen>	mbarnes anounced another crucial update for evolution landing soon during this release - CamelSettings,
Aug 24 11:38:44 <chen>	http://mail.gnome.org/archives/evolution-hackers/2011-August/msg00012.html
Aug 24 11:38:52 <chen>	mbarnes, i hope it wouldn break any freezes?
Aug 24 11:39:43 <chen>	lakhil, any updates on the idea you had proposed on the collecting the usage statistics iirc ?
Aug 24 11:40:23 <mbarnes>	chen: well, no one but us really consumes Camel and the platform API freeze doesn't really apply
Aug 24 11:40:39 <chen>	mbarnes, cool
Aug 24 11:40:42 <lakhil>	nope, i haven't got any response from banshee developer, will ping him again
Aug 24 11:40:50 <chen>	lakhil, thanks
Aug 24 11:41:40 <chen>	Evolution ews is also supported now for 2.28 with a branch gnome-2-28
Aug 24 11:42:02 <chen>	it was specially done for sled, but if there are any others interested, they can consume the same
Aug 24 11:42:22 <mbarnes>	hmm...
Aug 24 11:42:25 <chen>	am yet to start to port it to Evolution 3.2 though
Aug 24 11:42:56 <chen>	i made an effort to form a single compatibility patch for all versions,
Aug 24 11:43:20 <chen>	but due the camel-object -> gobject changes which happened in 2.30 wasn able to,
Aug 24 11:43:28 <chen>	as the code started to look ugly
Aug 24 11:43:39 <mbarnes>	eek, that sounds incredibly painful
Aug 24 11:43:56 <chen>	yeah, lots of typing to do :)
Aug 24 11:44:03 <mbarnes>	I don't know how cooly does it...
Aug 24 11:44:26 <chen>	will try to get a single clean compatibility patch for other versions
Aug 24 11:44:46 <chen>	Anything to be discussed before we move on to individual updates?
Aug 24 11:45:13 <chen>	updates from my side,
Aug 24 11:45:18 <mcrha>	line wrapping discussion?
Aug 24 11:45:27 <chen>	yup,
Aug 24 11:45:34 <chen>	mcrha, had a chance to go through http://stackoverflow.com/questions/2151836/c-coding-style-line-length-wrapping-lines ?
Aug 24 11:45:48 <chen>	my observation from that is,
