Dec 21 16:31:21 <chen>	Lets get started!!
Dec 21 16:31:29 <chen>	To start with project updates,
Dec 21 16:31:32 <lakhil>	dvratil, you are will be most wanted in next year :)
Dec 21 16:31:38 <lakhil>	s/are/
Dec 21 16:31:41 <chen>	lakhil, +1
Dec 21 16:32:26 <chen>	we had the 3.3.3 release couple of days back and mbarnes had merged the gsettings branch for the same.. 
Dec 21 16:33:06 <chen>	thanks to mcrha for uncovering couple of critical bugs just before the release and fixing the same :)
Dec 21 16:33:26 <mcrha>	only one :)
Dec 21 16:33:26 <lakhil>	usual mcrha style :)
Dec 21 16:33:37 <chen>	srag is currently working on the email-factory merging
Dec 21 16:34:00 <chen>	there are a couple of apis which needs review, that has been added specifically for mobile devices..
Dec 21 16:34:08 <chen>	gboolean	camel_folder_fetch_old_messages (CamelFolder *folder,
Dec 21 16:34:09 <chen>							 int count,
Dec 21 16:34:09 <chen>	                          			 GError **error);
Dec 21 16:34:09 <chen>	gboolean	camel_folder_purge_old_messages (CamelFolder *folder,
Dec 21 16:34:09 <chen>							 GError **error);
Dec 21 16:34:29 <chen>	would be good to have a discussion these on e-hackers list, will initiate a thread sometime this week..
Dec 21 16:35:01 <chen>	dvratil, howz the webkit thingy coming up ?
Dec 21 16:35:14 <dvratil>	chen: very good actually
Dec 21 16:35:25 *	mcrha tries to not forget of 3.2.3 release date question
Dec 21 16:35:35 <dvratil>	thanks to mcrha printing is finished, there are just a few things to be finished
Dec 21 16:36:00 <chen>	dvratil, nice!! any dot release when we can expect ?
Dec 21 16:36:24 <dvratil>	I want to do rebase on Christmas, implement few more thing and then merge to master (probably will discuss this on January meeting) so that I get some more feedback
Dec 21 16:37:05 <chen>	dvratil, cool, a christmas or a new year gift to everyone :)
Dec 21 16:37:27 <dvratil>	yop :)))
Dec 21 16:37:28 <chen>	mcrha, how about sometime next month ?
Dec 21 16:37:30 <mcrha>	Easter egg ;)
Dec 21 16:37:39 <chen>	:)
Dec 21 16:38:09 <mcrha>	chen, I thought of tomorrow, but early next year, aka January, looks good too. It's a bit long time since 3.2.2
Dec 21 16:39:02 <chen>	mcrha, i liked the idea mbarnes suggested on keeping a updated news file, to make sure
Dec 21 16:39:16 <chen>	all the important patches are ported to stable branch
Dec 21 16:39:29 <chen>	mcrha, we can prolly try that this time?
Dec 21 16:39:41 <mcrha>	please not, too much work for not much gain
Dec 21 16:40:32 <chen>	mcrha, am sure we would be missing out some good fixes in stable branch, or we must think of a better way..
Dec 21 16:41:15 <chen>	prolly we can discuss it offline and see if we can use the same or find something better..
Dec 21 16:41:25 <chen>	thats all with the project updates..
Dec 21 16:41:37 <mcrha>	ok
Dec 21 16:41:39 <chen>	anything else to be discussed before we move on with individual updates?
Dec 21 16:41:56 <mcrha>	maybe...
Dec 21 16:42:05 <chen>	mcrha, go on..
Dec 21 16:42:09 <mcrha>	...Christmas preparations ;)
Dec 21 16:42:17 <chen>	:)
Dec 21 16:42:49 <dvratil>	mcrha bought presents for all of us!
Dec 21 16:42:58 <chen>	yay!!!
