**** BEGIN LOGGING AT Wed Apr 18 08:03:20 2012

Apr 18 08:03:20 *	Now talking on #evolution-meet
Apr 18 09:22:31 *	You are now known as mcrha|afk
Apr 18 10:05:10 *	You are now known as mcrha
Apr 18 12:14:30 *	chen is now known as chen|brb
Apr 18 12:40:45 *	You are now known as mcrha|afk
Apr 18 13:21:27 *	chen|brb has quit (Ex-Chat)
Apr 18 13:50:51 *	You are now known as mcrha
Apr 18 17:16:47 *	chen (~chen@117.192.159.220) has joined #evolution-meet
Apr 18 17:17:24 <chen>	mcrha, meeting in another 10 minutes..
Apr 18 17:17:43 <mcrha>	hi chen, thanks, I can call the group
Apr 18 17:17:53 <chen>	mcrha, thanks!1
Apr 18 17:20:30 *	seb128 (~seb128@ANancy-258-1-17-113.w90-39.abo.wanadoo.fr) has joined #evolution-meet
Apr 18 17:23:31 *	lakhil (~lakhil@117.192.9.72) has joined #evolution-meet
Apr 18 17:24:24 <chen>	hey lakhil 
Apr 18 17:25:34 *	andre (~andre@89.177.48.113) has joined #evolution-meet
Apr 18 17:26:31 <lakhil>	hey chen 
Apr 18 17:29:11 <chen>	we would miss punit and vibha today, there is a power cut in the area where they reside..
Apr 18 17:29:44 <chen>	lets get started in another couple of minutes.. /me waits for mbarnes to join..
Apr 18 17:31:50 <chen>	lakhil, mcrha, i guess it would better to go with individual updates, with a single highlight for this month
Apr 18 17:32:08 <chen>	looks like mbarnes had missed out on the timing
Apr 18 17:32:39 <mcrha>	yup, unfortunately
Apr 18 17:32:55 *	chen also misses dvratil who is the limelight :)
Apr 18 17:33:25 <chen>	applause for dvratil for getting webkit inside evolution!!
Apr 18 17:33:33 <lakhil>	+1
Apr 18 17:33:39 *	chen claps for him :)
Apr 18 17:33:42 <mcrha>	yeah :)
Apr 18 17:34:06 <chen>	he would be happy to see the logs and we would give him kudos when he is there in next meeting!!
Apr 18 17:34:19 <chen>	updates from mysiide,
Apr 18 17:34:27 <lakhil>	mcrha, you have also guided him during rough path :)
Apr 18 17:34:44 <mcrha>	lakhil, just a little bit.
Apr 18 17:35:04 <chen>	delivered patches for smart-card on sled and its under testing. just split-up imapx library so that it can be subclassed,
Apr 18 17:35:21 <chen>	mbarnes already did split-up work of splitting imapx-command imapx-job
Apr 18 17:35:33 <chen>	so it just required a small patch - https://bugzilla.gnome.org/show_bug.cgi?id=674310
Apr 18 17:35:45 <chen>	mcrha, it would be nice if you also have a look at it..
Apr 18 17:36:12 <mcrha>	checking
Apr 18 17:36:22 <chen>	will be getting on write a small provider groupwise-imap which uses imapx for mails and soap protocol for calendar/address-book,
Apr 18 17:36:43 <chen>	so that the account can be setup cleanly instead of using the USE_IMAP hack
Apr 18 17:37:00 <chen>	which is causing all sorts of problems while handling preference settings
Apr 18 17:37:09 <chen>	thats it from my side
Apr 18 17:37:16 <chen>	andre, any updates?
Apr 18 17:37:22 <andre>	no :)
Apr 18 17:37:29 <chen>	dwmw2_gone, around?
Apr 18 17:37:36 <chen>	kov, anything to share?
Apr 18 17:37:43 <chen>	lakhil, updates ?
Apr 18 17:37:51 <lakhil>	there is nothing from my side
Apr 18 17:37:57 <chen>	mcrha, updates?
Apr 18 17:37:59 *	andre900 (~user@89.177.48.113) has joined #evolution-meet
Apr 18 17:38:06 <mcrha>	should I follow the pattern? :)
Apr 18 17:38:07 *	andre has quit (andre)
Apr 18 17:38:13 *	vibs (~yvibha@122.167.249.239) has joined #evolution-meet
Apr 18 17:38:14 <chen>	hehe
Apr 18 17:38:17 <chen>	hey vibs 
