Here is a list of bugs that have had 10 or more bugs marked as a
duplicate of it during 2006

 Bug#  Dupes Status      Description
351603  1110  RESOLVED    crash on Time and Date -- adjusting time
352592  514  RESOLVED    [g_assert_warning fm_directory_view_bump_zoom_level]
343488  340  RESOLVED    nautilus sometimes crashes when opening new window
359655  334  RESOLVED    crash in Ekiga Softphone: I closed the application...
308251  301  RESOLVED    [xine-lib] assertion in snd_pcm_state
349697  249  NEW         crash on Open Folder
333864  234  RESOLVED    crash when displaying attached pictures inline
358383  233  NEEDINFO    crash in Time and Date: Installing time server
348161  207  RESOLVED    reentrancy problem causing crash when refreshing root
356666  202  RESOLVED    pango is not thread-safe, nautilus does not honour tha
356672  190  NEW         fm_tree_model_unref_node fails ref_count > 0 assert
320206  188  NEW         Crash when canceling slide show
351181  182  RESOLVED    [xine-lib] crash in _x_config_init when switch res. or
342504  165  RESOLVED    Abnormal termination of totem
353498  157  NEEDINFO    crash in Terminal: changing icon theme
320020  143  NEW         Crash when opening Audio-CD in Tree View
354536  141  RESOLVED    crash in Networking: trying to get the wetwor...
364037  141  RESOLVED    crash in Movie Player:
351713  137  RESOLVED    [strlen g_strdup] metadata crash on quit
358855  134  NEW         crash in Rhythmbox Music Player: Connect the iPod shuf
356180  128  NEW         crash in Networking: Launching the control pa...
334966  127  NEW         Evolution crashes sometimes when closing main window
350758  124  RESOLVED    Nautilus crashes after browsing some folders
352265  112  RESOLVED    crash on Trash
348979  106  NEW         crash on Terminal
358405  101  RESOLVED    gtk_file_chooser_button_new
349051  100  RESOLVED    crash in plugin [running timeout in unloaded plugin co
351376   96  RESOLVED    crash when using --add-share option
352490   96  RESOLVED    crash in Theme: Drag and drop DarkX-2 th...
355887   96  NEW         altering displayed log files results in crash
362302   96  NEEDINFO    [strcmp nautilus_file_ref]changing file permission...
372471   95  RESOLVED    crash in CD/DVD Creator: Clicking on a USB pendri...
354046   94  NEW         Crash in g_utf8_validate
355849   94  RESOLVED    crash in Time and Date: ntp-server choosen .
367993   93  UNCONFIRMED crash in Movie Player: starting totem movie pla...
355723   84  RESOLVED    Encrypt file in Nautilus
377079   78  RESOLVED    crash in Help: Ran the help from Power ...
351814   77  NEW         crash while deleting more than 1 bookmark in bm-editor
354559   76  NEW         crash in sexy_tree_view_new
