**** BEGIN LOGGING AT Wed May  4 19:29:27 2005

May 04 19:29:27 *	Now talking on #evolution-meet
May 04 19:29:29 *	tml (~tml@MMCCCXLIII.tun.saunalahti.fi) has joined #evolution-meet
May 04 19:29:47 *	rodrigo (~rodrigo@202.144.86.147) has joined #evolution-meet
May 04 19:31:48 *	surf (~surf@202.144.86.147) has joined #evolution-meet
May 04 19:31:56 *	guenther (~guenther@IP-213188108016.dialin.heagmedianet.de) has joined #evolution-meet
May 04 19:32:26 *	sush (~Sushma@202.144.86.147) has joined #evolution-meet
May 04 19:32:32 NotZed	what is poornima's email address?
May 04 19:32:56 harish	pnayak@novell.com
May 04 19:33:00 surf	pnayak@novell.com
May 04 19:33:08 NotZed	thanks
May 04 19:33:10 *	rodo (~rodo@202.144.86.147) has joined #evolution-meet
May 04 19:33:14 rodo	hola
May 04 19:33:15 rodrigo	harish: are you going to log the meeting, or should I?
May 04 19:33:18 *	shaheed_ (~shaheed@202.144.86.147) has joined #evolution-meet
May 04 19:33:29 *	vivek (~vivek@202.144.86.147) has joined #evolution-meet
May 04 19:33:37 harish	rodrigo: yes, i can do that
May 04 19:33:53 rodrigo	ok
May 04 19:35:15 *	roozbeh (~roozbeh@tameshk.bamdad.org) has joined #evolution-meet
May 04 19:35:20 *	nags_ (~nags@202.144.86.147) has joined #evolution-meet
May 04 19:35:32 *	shres (~shreyas@202.144.86.147) has joined #evolution-meet
May 04 19:35:45 jpr	one more minute
May 04 19:35:53 *	seb128 (~seb128@ANancy-151-1-32-67.w83-196.abo.wanadoo.fr) has joined #evolution-meet
May 04 19:36:41 *	gekker (~gekker@camus.provo.novell.com) has joined #evolution-meet
May 04 19:37:44 jpr	ok
May 04 19:37:59 jpr	i just wanted to introduce harish 
May 04 19:38:15 jpr	who you probably all know by now is the maintainer of evolution
May 04 19:38:26 jpr	for head and shortly for stable
May 04 19:38:41 jpr	most of you have probably seen harish in these meetings
May 04 19:38:51 jpr	before and know he's a good evo hacker
May 04 19:39:04 jpr	so without further ado, i'll turn the meeting over to harish to lead
May 04 19:39:28 NotZed	in the dark
May 04 19:39:28 harish	thanks jpr :-).  Hi all
May 04 19:39:53 shres	hey harish 
May 04 19:39:57 surf	hi :)
May 04 19:40:05 gekker	vanakkam harish
May 04 19:40:11 haip	hi
May 04 19:40:16 chen	hi harish 
May 04 19:40:17 dhm_home	hi!
May 04 19:40:19 harish	hooo...gekker - where did you learn that ?
May 04 19:40:22 partha	hi harish 
May 04 19:40:38 nags_	Hi all
May 04 19:40:41 sush	hey harish
May 04 19:40:43 gekker	varadhan taught me :)
May 04 19:40:46 nags_	Today I get some time to demo LDTP + Evolution sanity test-scripts to jpr and also got some good feedback
May 04 19:40:46 andre_	also "hi harish." ;-)
May 04 19:40:49 harish	so...lets get started for the day's agenda ..and we have the light back :)
May 04 19:41:01 NotZed	dawn of a new age?
May 04 19:41:11 surf	:)
May 04 19:41:12 rodrigo	:)
May 04 19:41:46 harish	so on the main agenda..- i hope all of you have been tracking the 2.4 task list
May 04 19:41:47 nags_	thanks to NotZed, he gave me Xvfb idea to integrate with LDTP
May 04 19:41:49 harish	on the wiki
May 04 19:42:01 harish	http://go-evolution.org/TwoFourTaskList
May 04 19:42:32 *	andre_ has quit (Remote closed the connection)
May 04 19:42:33 harish	i would like to gently invite you all to go through that again and add in your comments
May 04 19:43:15 harish	and you would have also noticed those beautiful design documentations from jpr, rodrigo and shortly from 
May 04 19:43:21 harish	NotZed too, i guess
May 04 19:43:36 *	andre_ (~y0020796@rzlx0002.rz.tu-bs.de) has joined #evolution-meet
May 04 19:43:41 NotZed	i put up some stuff on threading in mail at least
May 04 19:44:01 harish	oh yes...
May 04 19:44:44 harish	The CVS Head would be open for commits now ..
May 04 19:45:09 harish	though the patch review mode would continue on the 2.2 branch
May 04 19:45:49 harish	The 2.2.x release shows about 4 showstoppers right now.. is that right nags_ ?
May 04 19:46:01 nags_	harish: Yes
May 04 19:46:14 rodrigo	harish: I just rescheduled all < 2.2.x milestones bugs, so there might be more
May 04 19:46:38 rodrigo	not sure if there were showstoppers though
May 04 19:47:23 harish	oh.. ok. if any of how have issues to report that you feel must be fixed in 2.2.4 - kindly make sure..
May 04 19:47:49 harish	you report the bug or bump up the criticality for existing ones.
May 04 19:48:16 rodrigo	no bug report for it, but the migration patch that davE_largo reported needs to go to 2.2.4
May 04 19:48:21 partha	harish: since the head is open, is the ABI freeze removed. can structures be modified on head??
May 04 19:48:26 harish	ah..i almost forgot.. nags_ (Nagappan) would be our new Bug Master and the lead QA guy for evolution
May 04 19:48:49 nags_	As of now 1 critical bug and 3 blockers in 2.2.x
May 04 19:48:55 harish	partha, no. we would continue to maintain the ABI compatibility in the 2.3 dev cycle
May 04 19:48:58 NotZed	i think 273375 can be downgraded, it is only from one reporter and maybe one os anyway
May 04 19:49:00 nags_	:)
May 04 19:49:32 partha	harish: ok
May 04 19:49:54 *	varadhan (~varadhan@202.144.86.147) has joined #evolution-meet
May 04 19:49:55 nags_	NotZed: I guess there are some similar bugs....
May 04 19:50:05 NotZed	harish: really?  that may be difficult
May 04 19:50:13 *	nags_ checking similar bugs in bgo
May 04 19:50:46 harish	NotZed, it is a tough ask.. but we would give it a try.. we may have to allow APIs to be extended (not modified though)
May 04 19:51:03 NotZed	depends on what constitutes public apis
May 04 19:51:05 NotZed	i guess
May 04 19:51:16 harish	yes..mostly
May 04 19:51:58 partha	it should hold good for structures that are not public/exposed.
May 04 19:52:16 harish	ok.. lets go around the room and get the status. new guys can also a give brief intro and the new roles that they are taking up
May 04 19:52:25 partha	structures used internally can be modified can they??
May 04 19:52:29 harish	for the benefit of all
May 04 19:52:45 harish	partha, after a good impact analysis :-)
May 04 19:52:53 partha	Ah!
May 04 19:53:09 *	fejj_ (~fejj@c-66-30-106-142.hsd1.ma.comcast.net) has joined #evolution-meet
May 04 19:53:10 *	andre_ has quit (Remote closed the connection)
May 04 19:53:17 fejj_	forgot about the meeting
May 04 19:53:31 harish	jpr is on the top of the list :-) ..  a busy week full of meetings ?? ;-)
May 04 19:53:35 harish	hi fejj_ 
May 04 19:53:37 jpr	some shell cleanups, writing architecture docs and giving talks on evolution here in india
May 04 19:54:09 jpr	thats about it
May 04 19:54:13 jpr	(many, many meetings)
May 04 19:54:23 harish	evo is going to miss you the most..
May 04 19:54:27 *	andre_ (~y0020796@rzlx0006.rz.tu-bs.de) has joined #evolution-meet
May 04 19:54:37 harish	hi andre_ 
May 04 19:54:50 harish	chen ?
May 04 19:55:05 *	andre_ hates those X crashes on the university machines
May 04 19:55:11 chen	harish, planning the features to be done fr 2.4 in calendar
May 04 19:55:19 *	Nat (~Nat_@c-24-34-186-89.hsd1.ma.comcast.net) has joined #evolution-meet
May 04 19:55:33 harish	hi Nat 
May 04 19:55:48 chen	harish, reviewed some patches, working with rodrigo and learning the calendar architecture 
May 04 19:56:06 chen	harish, thats all
May 04 19:56:08 harish	chen would also be taking up the responsibilities of being evo's build buddy :)
May 04 19:56:27 harish	dhm_home ?
May 04 19:56:38 dhm_home	http://live.gnome.org/Evolution_2fGConfTools
May 04 19:56:39 chen	yes :)
May 04 19:56:44 dhm_home	http://live.gnome.org/Evolution_2fGConfLDAPBackend
May 04 19:57:13 dhm_home	plus I'll resend my printing i18n patch now that 2.3 is open
May 04 19:57:28 harish	dhm_home, thanks.
May 04 19:58:04 harish	yes. we need to relook at all the patches that were held up and get them in asap
May 04 19:58:09 harish	fejj_, ?
May 04 19:58:34 fejj_	yea?
May 04 19:58:46 fejj_	oh
May 04 19:58:48 fejj_	heh
May 04 19:58:59 fejj_	been working on trying to get gtk-doc in place for camel
May 04 19:59:07 fejj_	turning out to be a bigger pita than expected
May 04 19:59:13 fejj_	gtk-doc is god aweful
May 04 19:59:31 rodrigo	yeah, /me has lots of problems to make it generate the templates
May 04 19:59:43 fejj_	yea, and it wants to do a recursive scan
May 04 19:59:51 fejj_	even tho for camel, that's not really desirable
May 04 20:00:26 fejj_	also, it can't handle #ifdef's
May 04 20:00:38 jpr	oh, it wants to scan the providers as well?
May 04 20:00:41 fejj_	yea
May 04 20:00:54 rodrigo	if you don't tell to ignore the dirs, it does yeah
May 04 20:00:59 fejj_	and it also barfs on enum's that aren't typedef'd
May 04 20:01:00 *	ganesh_ (~ganesh@220.226.20.35) has joined #evolution-meet
May 04 20:01:12 harish	hi ganesh_ 
May 04 20:01:18 fejj_	oh, I can tell it to ignore dirs? thought I had to specify files
May 04 20:01:30 ganesh_	hi..there was not power at home..just logged in..How r things ?
May 04 20:01:42 harish	would you like to introduce yourself and about ur new role 
May 04 20:01:49 rodo	hi ganesh_ 
May 04 20:01:57 rodrigo	fejj_: I think if you put the dir names in IGNORE_HFILESit should work
May 04 20:01:59 ganesh_	Hi rodo..
