**** BEGIN LOGGING AT Wed Jul  6 15:25:48 2005

Jul 06 15:25:48 *	Now talking on #evolution-meet
Jul 06 15:25:50 *	sp (~shakti@202.144.86.147) has joined #evolution-meet
Jul 06 15:26:24 *	Mengjie (~Mengjie@202.108.88.130) has joined #evolution-meet
Jul 06 15:26:28 *	harish (~kharish@202.144.86.147) has joined #evolution-meet
Jul 06 15:27:10 *	tml (~tml@MXIX.tun.saunalahti.fi) has joined #evolution-meet
Jul 06 15:27:20 tml	hello guys!
Jul 06 15:27:39 harish	hi tml
Jul 06 15:28:19 *	seb128 (~seb128@ANancy-151-1-39-50.w83-196.abo.wanadoo.fr) has joined #evolution-meet
Jul 06 15:28:41 harish	lets wait for a couple of more minutes
Jul 06 15:29:26 harish	seb128, i have been looking at 307794 issue..i'm surprised no other application is being hit by the bug
Jul 06 15:29:54 harish	and we crash on all instances where the gtk-combo widget is used
Jul 06 15:30:11 *	srag_ (~sragavan@202.144.86.147) has joined #evolution-meet
Jul 06 15:30:22 *	sush (~Sushma@202.144.86.147) has joined #evolution-meet
Jul 06 15:30:35 seb128	harish: I've not got any other bug about such issue on Ubuntu
Jul 06 15:30:40 seb128	and other apps don't crash here
Jul 06 15:31:21 harish	guess i need to get rid of it by today
Jul 06 15:31:52 harish	lets get started
Jul 06 15:31:55 seb128	that would be nice, atm it prevents any new user to set up evolution
Jul 06 15:32:18 *	nicel (~mnicel@202.144.86.147) has joined #evolution-meet
Jul 06 15:32:21 harish	from my side. evo 2.3.4 release happened in the weekend
Jul 06 15:33:05 harish	and i see more build issues from FC4 which seem to go fine on SUSE and i guess ubuntu too
Jul 06 15:33:23 harish	perhaps less forgiving compilers or just some missing option
Jul 06 15:33:59 harish	this week i would be mostly at clearing the patch log and more gw work on calendar
Jul 06 15:34:08 harish	chen : updates for us ?
Jul 06 15:34:10 *	nags (~nags@202.144.86.147) has joined #evolution-meet
Jul 06 15:34:23 tml	hmm, i think i saw the same crash on win32 before my vacation, even...
Jul 06 15:34:52 harish	Mengjie, ?
Jul 06 15:34:58 chen	Bug fixing, patch review, fixed issues w.r.t exchange in build buddy and the rpms have been delivered in rug
Jul 06 15:35:42 harish	nags, the testing cycle of 2.3.4 has begun. any updates for us ?
Jul 06 15:35:52 nags	harish: yes
Jul 06 15:35:54 nags	Have setup testlink.sf.net software locally
Jul 06 15:35:55 nags	Need to update address book test-cases
Jul 06 15:35:55 nags	Currently testing menu reorg in Evolution 2.3.4
Jul 06 15:36:13 *	shaheed (~shaheed@202.144.86.147) has joined #evolution-meet
Jul 06 15:36:18 *	ksh (~kaushal@202.144.86.147) has joined #evolution-meet
Jul 06 15:36:18 Mengjie	harish:hi
Jul 06 15:36:24 chen	harish, currently working on recurrence patch sent by you, we should get it in asap
Jul 06 15:36:30 ksh	hi Mengjie 
Jul 06 15:36:36 Mengjie	ksh:hi
Jul 06 15:36:43 ksh	Mengjie: how u doing
Jul 06 15:37:07 harish	chen, yes. i am at your service :-) . lets wrap it up this week
Jul 06 15:37:26 Mengjie	I am update the patch for #306238
Jul 06 15:37:31 harish	nags, thanks.. a kind reminder about the bug triaging guidelines update on gnome bugzilla
Jul 06 15:37:50 chen	harish, sure :)
Jul 06 15:37:52 nags	harish: I have updated after I receive your mail
Jul 06 15:38:09 nags	harish: Maybe I need to modify :)
Jul 06 15:38:09 ksh	Mengjie: saw your comments. i have asked for it's commit to rodo
Jul 06 15:38:27 harish	pnayak, ?
Jul 06 15:38:38 harish	nicel, welcome.. have any updates ;-)
Jul 06 15:38:54 Mengjie	ksh:I'v talked with rodo. He had agreed my signaling object_delete before really deleting and I'v changed the name of the signal to object_delete as his proposal.
Jul 06 15:38:56 pnayak	triaging, started with exchange connecter testing, could ot test much there, now testing calendar in GW connector, I have setup UWcalendar, yet to verify calDAV support in it
Jul 06 15:39:13 Mengjie	ksh:He also said if you think the other part of the patch is ok, I could commit it.
Jul 06 15:39:17 harish	pnayak, thanks..lets sync up with gicmo as well
Jul 06 15:39:18 *	partha (~partha@202.144.86.147) has joined #evolution-meet
Jul 06 15:39:26 pnayak	oky
Jul 06 15:39:32 harish	partha, ??
Jul 06 15:39:53 ksh	Mengjie: so u have changed the signal name now, is it.. could u send me that patch
Jul 06 15:39:56 partha	fixed a few bugs in gw
