**** BEGIN LOGGING AT Wed Jul 13 15:25:04 2005

Jul 13 15:25:04 *	Now talking on #evolution-meet
Jul 13 15:25:27 *	karthik (~karthik@203.129.195.132) has joined #evolution-meet
Jul 13 15:25:40 *	arun (~arun@202.144.86.147) has joined #evolution-meet
Jul 13 15:26:06 *	NotZed (~notzed@ppp170-161.lns1.per1.internode.on.net) has joined #evolution-meet
Jul 13 15:26:30 *	parag (~pp@202.144.86.147) has joined #evolution-meet
Jul 13 15:26:53 harish_meet	lets wait a couple of more minutes before we start
Jul 13 15:27:20 *	srag_ has quit (Remote closed the connection)
Jul 13 15:28:22 harish_meet	ok..lets begin ... Updates from my side..
Jul 13 15:28:37 *	sush (~Sushma@202.144.86.147) has joined #evolution-meet
Jul 13 15:29:00 harish_meet	Evolution 2.3.5.1 is ready.. as i speak to you, i am testing it out and will roll it out in another few minutes
Jul 13 15:29:37 *	rodrigo (~rodrigo@211.Red-80-59-90.pooles.rima-tde.net) has joined #evolution-meet
Jul 13 15:29:38 harish_meet	we are also set to start off our formal testing cycles from tomorrow - a complete end-to-end testing of evo
Jul 13 15:30:24 *	krish_ (~rkrishnan@202.144.86.147) has joined #evolution-meet
Jul 13 15:30:36 *	varadhan (~varadhan@202.144.86.147) has joined #evolution-meet
Jul 13 15:30:44 harish_meet	we are past the module /feature freeze and heading for the UI freeze in a couple of weeks
Jul 13 15:31:10 harish_meet	so expect a flurry of bugs and busy days ahead :-)
Jul 13 15:31:15 harish_meet	lets get around the room
Jul 13 15:31:21 harish_meet	andre, anything for us ?
Jul 13 15:31:25 *	tml (~tml@MCCCLXXVI.tun.saunalahti.fi) has joined #evolution-meet
Jul 13 15:31:38 andre	NotZed, too many tests at the university currently. :-(   is there any chance to see somebody working on i18n issues/bug 236276 before string freeze takes place? (i know you all have much to do, sigh) :-/
Jul 13 15:31:49 andre	hmm. "notzed" should have been "no".
Jul 13 15:31:55 andre	i love autocompletion :-)
Jul 13 15:31:58 *	bandini (~Arturo@nat.xsec.it) has joined #evolution-meet
Jul 13 15:32:28 *	nags (~nags@202.144.86.147) has joined #evolution-meet
Jul 13 15:32:41 *	pnayak (~pnayak@202.144.86.147) has joined #evolution-meet
Jul 13 15:32:45 harish_meet	andre: i am recommending krish_ who is managing the evolution QA to shuffle his plans to accomodate string freeze deadlines
Jul 13 15:32:49 *	srag_ (~sragavan@202.144.86.147) has joined #evolution-meet
Jul 13 15:32:58 harish_meet	thanks
Jul 13 15:33:02 harish_meet	arun, ?
Jul 13 15:33:03 srag_	sorry guys... just rebooted my machine.
Jul 13 15:33:04 andre	would be graet, thanks :-)
Jul 13 15:33:31 arun	arun, yes
Jul 13 15:33:43 harish_meet	bandini, just rolling out evo-2.3.5.1 that really builds ;-)
Jul 13 15:33:45 *	shilpa_qa (~shilpa_qa@202.144.86.147) has joined #evolution-meet
Jul 13 15:33:54 harish_meet	chen: ?
Jul 13 15:34:12 chen	harish: fixing bugs, patch review, and the gw reccurrence patch is in
Jul 13 15:34:37 harish_meet	cool..and i guess the bb is back on track
Jul 13 15:34:45 harish_meet	karthik, ?
Jul 13 15:34:57 arun	harish_meet, fixing bugs
Jul 13 15:35:03 *	nicel (~mnicel@202.144.86.147) has joined #evolution-meet
Jul 13 15:35:05 chen	yes :)
Jul 13 15:35:16 harish_meet	krish_, nags : updates from QA ?
Jul 13 15:35:19 *	shres (~sshreyas@59.92.130.173) has joined #evolution-meet
Jul 13 15:35:36 nags	harish_meet: Hi
Jul 13 15:35:37 nags	Executed menu reorganization test-cases
Jul 13 15:35:37 nags	testlink based testplan setup
Jul 13 15:35:37 nags	bug triaging
Jul 13 15:35:46 *	shaheed (~shaheed@202.144.86.147) has joined #evolution-meet
Jul 13 15:35:56 krish_	krish_:  The initial plan for Evolution 2.4 Testing is ready 
Jul 13 15:35:59 nags	also setup one ubuntu box for evolution testing
Jul 13 15:36:08 krish_	harish_meet:   The initial plan for Evolution 2.4 Testing is ready 
Jul 13 15:36:13 nags	need to setup FC4 for evo testing
