**** BEGIN LOGGING AT Wed Aug 10 15:38:42 2005

Aug 10 15:38:42 *	Now talking on #evolution-meet
Aug 10 15:39:03 harish	updates from my side -
Aug 10 15:39:42 *	sankar (~sankar@202.144.95.244) has joined #evolution-meet
Aug 10 15:40:02 harish	evo 2.3.7 is out and we have little precious time left before the hard code freeze and a deluge of bugs to tackle
Aug 10 15:40:05 *	chen (~chen@202.144.95.244) has joined #evolution-meet
Aug 10 15:40:58 *	sush (~sush@202.144.95.244) has joined #evolution-meet
Aug 10 15:41:09 harish	evo 2.3.6.1 is reaching out to thosands of users via SuSE10 right now
Aug 10 15:41:44 harish	spending time mostly on bug triaging and patch reviews
Aug 10 15:41:46 *	viren (~viren@202.144.95.244) has joined #evolution-meet
Aug 10 15:42:07 harish	pushing a few fixes too
Aug 10 15:42:18 harish	lets quickly get around the room...
Aug 10 15:42:20 harish	partha ?
Aug 10 15:42:37 partha	bug fixing - mostly groupwise.
Aug 10 15:42:44 partha	and a lot of bug triaging.
Aug 10 15:42:55 partha	thats whats done most of the week
Aug 10 15:43:00 harish	great.
Aug 10 15:43:04 partha	and a few patch reviews
Aug 10 15:43:07 harish	arun : anything for us
Aug 10 15:43:29 arun	Fixed bugs in exchange mailer part.
Aug 10 15:43:47 *	pnayak_test (~pnayak@202.144.95.244) has joined #evolution-meet
Aug 10 15:44:08 harish	guess almost all of us are in bugfixing stage right now..so pl. share if you have any specifics to discuss
Aug 10 15:44:15 harish	incognito, ?
Aug 10 15:44:22 harish	arun, thx
Aug 10 15:44:33 arun	harish, thanks
Aug 10 15:44:38 chen	harish, bug fixing, patch review, bug triaging (missed me :) )
Aug 10 15:44:39 incognito	was traiging and fixing bugs in conduit
Aug 10 15:45:00 harish	krish_, any updates on the just concluded testing cycle ?
Aug 10 15:45:02 incognito	now fixing bugs in evo tasks
Aug 10 15:45:07 harish	chen, right..thanks
Aug 10 15:45:32 harish	chen/sush : pl. commit the SITIC patches on to the stable branch as well
Aug 10 15:45:43 sush	ok
Aug 10 15:45:44 *	NotZed (~notzed@ppp170-161.lns1.per1.internode.on.net) has joined #evolution-meet
Aug 10 15:45:52 harish	nags, updates for us ?
Aug 10 15:46:12 nags	harish: Tested address book with gw, exchange and ldap
Aug 10 15:46:15 nags	things are fine
Aug 10 15:46:17 krish_	harish:-   Well,  650 test cases were executed and we have found some 51 bugs
Aug 10 15:46:32 harish	cool..
Aug 10 15:46:36 nags	also two bug triaging and bug day in between
Aug 10 15:46:38 krish_	harish:-   We could not test Shared Folder due to a blocker
Aug 10 15:46:49 krish_	harish:-   right 
Aug 10 15:46:51 nags	from tomorrow onwards,I will be working on reliability testing of Evolution
Aug 10 15:46:56 chen	harish, ok
Aug 10 15:46:59 nags	both Groupwise and Exchange
Aug 10 15:47:04 harish	nags, any overall f/b on evo on Suse10 ?
Aug 10 15:47:19 harish	krish_,  what is the bug # on shared folder ?
Aug 10 15:47:23 harish	vivek, ?
Aug 10 15:47:24 nags	harish: Evolution is doing good in SuSE 10
Aug 10 15:47:28 NotZed	dont try to remove the duplication, just dont add it if it isn't enabled
Aug 10 15:47:34 NotZed	sorry wrong channel
Aug 10 15:47:44 krish_	harish:-   Shilpa would know that....I am not able to remember that off my head
Aug 10 15:47:44 vivek	harish, just closing more bugs
Aug 10 15:47:48 nags	harish: general gnome issues are there, except that things are fine
Aug 10 15:47:51 vivek	fixing and triaging
Aug 10 15:48:10 harish	vivek, have you heard about the shared folder blocker yet ?
Aug 10 15:48:17 vivek	harish, ya i have
Aug 10 15:48:20 harish	nags, thanks
Aug 10 15:48:30 vivek	its associated with  a server bug
Aug 10 15:48:40 vivek	partha, is into it
Aug 10 15:48:42 krish_	harish:-   Also,  we have not done MAC testing yet
Aug 10 15:48:59 krish_	harish:-   That would start next week -   it is a bit risky game
Aug 10 15:49:05 harish	NotZed, any updates.. I notice you have been clearing off lot of bugs on bgo
Aug 10 15:49:09 *	shilpa (~shilpa_qa@202.144.95.244) has joined #evolution-meet
Aug 10 15:49:19 partha	harish, its fixed but i guess its gonna come only in the SP1 build
Aug 10 15:49:27 harish	krish_, shres should be providing the MAC build this week
Aug 10 15:49:40 krish_	partha:-  Which SP1 ?
Aug 10 15:49:44 krish_	harish:-   ok
Aug 10 15:49:47 harish	partha, SP1 is too far away..
Aug 10 15:50:08 harish	have we seen it working in any of the daily builds at all
Aug 10 15:50:09 partha	gorupwise server SP1
Aug 10 15:50:16 krish_	partha:-   ok
Aug 10 15:50:26 harish	pnayak_test, ?
Aug 10 15:50:32 pnayak_test	harish: tested delegate meeting and GW proxy support
Aug 10 15:50:37 krish_	harish:-   We must discuss and strategize QA from now on.....
Aug 10 15:50:54 krish_	harish:-   Let us do that sometime tomorrow on #evolution
Aug 10 15:50:59 krish_	.
Aug 10 15:51:09 harish	right..i will be available 
Aug 10 15:51:19 pnayak_test	harish: Delegate meeting in GW calendar works without any major issue
Aug 10 15:51:28 NotZed	yeah just fixing bugs and trying to clean up some of the rubbish, there's a lot of it
Aug 10 15:51:38 pnayak_test	harish: Personal calendar yet to be tested
Aug 10 15:51:45 harish	pnayak_test, any more leads on the crashes have been observing 
Aug 10 15:52:13 krish_	NotZed:-  I know....many things would come out as we get into rigorous QA...which is good for the product overall
Aug 10 15:52:17 krish_	.
Aug 10 15:52:22 harish	NotZed, thanks
Aug 10 15:52:32 *	varadhan (~bhargavi@202.144.95.244) has joined #evolution-meet
Aug 10 15:52:33 pnayak_test	harish: so far only one crash on shilpa's machine w.r.t calendar
Aug 10 15:52:52 NotZed	well there's a lot of very old bugs or things we'll never fix
Aug 10 15:53:14 harish	pnayak_test, thanks
Aug 10 15:53:15 NotZed	i wasn't talking about the real bugs
