Jan 16 05:11:57 <srag>	Hello everyone
Jan 16 05:12:04 *	kandepu (~tester@125.16.129.16) has joined #evolution-meet
Jan 16 05:12:20 <srag>	Sorry for the uninformed delay in the meeting. I was caught up on a corridor meeting.
Jan 16 05:12:52 <srag>	which went beyond time and I didnt carry my mobile/watch to see the time :(
Jan 16 05:12:54 *	lakhil (~lakhil@125.16.129.16) has joined #evolution-meet
Jan 16 05:13:16 <srag>	So guys, we released 2.21.5 yesterday and I know I have inserted on critical bug there 
Jan 16 05:13:40 <srag>	some of your alerts from the servers may be laying as non-intrusive errors
Jan 16 05:13:51 <srag>	Other than that no other known issues
Jan 16 05:14:13 <srag>	And on the stacktrace hack fest, we can have it on Jan 22 and not Jan 17th.
Jan 16 05:14:26 <srag>	I would announce it today/tomorrow on the e-h list
Jan 16 05:14:48 <srag>	Im planning to have a wiki page where we can list our bugs or may be the bug url there
Jan 16 05:15:20 <psankar>	srag, I suppose we just need to query with whiteboard = stack-trace
Jan 16 05:15:25 <psankar>	srag, do we need a url ?
Jan 16 05:15:28 <psankar>	or a page ?
Jan 16 05:15:59 <srag>	psankar, right. But it is a 300 bug list and mcrha had a point there. It might take long time to get/reproduce lot of them
Jan 16 05:16:08 <srag>	I'm fine with all stack-trace bugs also
Jan 16 05:16:14 <psankar>	srag, oh okay
Jan 16 05:16:26 <srag>	mcrha, am I right? IIRC you had a point there same as what I said
Jan 16 05:16:49 <mcrha>	yes, srag
Jan 16 05:16:51 <srag>	psankar, it is easier if we can have some 50 bugs that we know happen for sure.
Jan 16 05:16:58 <srag>	and fix it
Jan 16 05:16:59 <chen>	srag: its better to separate have a filter on ones which are consistent enough
Jan 16 05:17:16 <srag>	right. So Im getting the support for the point. So I'll go ahead with that.
Jan 16 05:17:18 <psankar>	srag, anything goes well with me
Jan 16 05:17:22 <srag>	cool.
Jan 16 05:17:52 <srag>	So decided final. Jan 22nd is gonna be the hackfest (Full hours - UTC 00:00 to UTC 23.59) :)
Jan 16 05:18:00 <srag>	which would cover across all the timezones :)
Jan 16 05:18:14 <srag>	And another things is that, I posted a blog on Monday on my experiments/design on disk summary
Jan 16 05:18:35 <srag>	most of that is post 2.22 material and may decide the roadmap for 2.24.
Jan 16 05:19:17 <srag>	other than that, I have few more threads running with me that may decide the other components for the 2.24 roadmap
Jan 16 05:19:57 <srag>	but in a whole, 2.24 would be focusing on Network/Protocol Optimization and Memory/Stability/Performance improvement
Jan 16 05:20:09 <srag>	and may not feature any written features apart from MAPI
Jan 16 05:20:26 <srag>	that is what I'm going with currently.
Jan 16 05:20:42 <srag>	Thatz it from my side...
Jan 16 05:21:09 <srag>	On the work front, last week few stacktrace bugs and lots of work on my experiment.
Jan 16 05:21:24 <srag>	and I'm planning to do some work to improve/speed-up spam filtering this week. 
Jan 16 05:21:35 <srag>	abharath, anything to share with us?
Jan 16 05:21:52 <abharath>	srag: just working on pst import. nothing else
Jan 16 05:22:05 <srag>	abharath, any breakthrough on the 2003 files?
Jan 16 05:22:44 <abharath>	srag: able to fetch the headers. gotta work on the attachments. 
Jan 16 05:22:49 <srag>	abharath, cool. 
Jan 16 05:22:56 <srag>	abharath, how much work is still pending?
Jan 16 05:23:02 <srag>	(%) should be fine to share :)
Jan 16 05:23:14 <srag>	ashish, anything to share with us?
Jan 16 05:23:38 <ashish>	srag, I've given patch for custom header for review and working on some GW bugs.
Jan 16 05:24:12 <abharath>	srag: working with the libpst maintainer on fixing the attachments. For mails, it should be around 30% more. For contacts its almost done :)
