Feb 27 05:20:18 <srag>	Hello every one
Feb 27 05:20:27 <srag>	we can have a quick meeting this time...
Feb 27 05:20:38 *	schooms_afk is now known as schooms
Feb 27 05:20:44 <srag>	We release our RC1 2.21.92 and a 2 days away from Hard code freeze
Feb 27 05:21:12 *	jony (~jjohnny@125.16.129.16) has joined #evolution-meet
Feb 27 05:21:23 <srag>	we must make sure that all the patches are in bugzilla from here on with approvals from one of the maintainers
Feb 27 05:21:40 <srag>	this applies to all the module maintainers including me :)
Feb 27 05:22:11 <srag>	We have just one blocker http://bugzilla.gnome.org/show_bug.cgi?id=518744 which mcrha and chen are discussing now
Feb 27 05:22:26 <srag>	otherwise a pretty good release this time with lots of top bugs
Feb 27 05:22:51 <srag>	I need a volunteer to create a list of contributors patch 
Feb 27 05:23:07 <srag>	Evasdk has a script and chen too have one iirc
Feb 27 05:23:20 <srag>	you could use any and get me a patch of list of new contributors
Feb 27 05:23:28 <srag>	any one willing to help me out here?
Feb 27 05:23:40 <jony>	wherez the script ? 
Feb 27 05:23:48 *	gicmo (~gicmo@91-65-151-236-dynip.superkabel.de) has joined #evolution-meet
Feb 27 05:23:50 <srag>	jony, you can ask EvaSDK or chen has it
Feb 27 05:23:53 <srag>	hey gicmo 
Feb 27 05:23:56 <gicmo>	hey hey
Feb 27 05:23:57 <jony>	srag, okies then . 
Feb 27 05:23:58 <chen>	srag: i have it at home, can get it tonight
Feb 27 05:24:04 <chen>	hi gicmo :)
Feb 27 05:24:23 <srag>	so AI: Jony to give the patch for list of contributors
Feb 27 05:24:39 *	jony adds that to TODO
Feb 27 05:24:42 <srag>	jony, it should be committed before HC freeze
Feb 27 05:24:49 <jony>	srag, okie.
Feb 27 05:24:52 *	psankar (~evo@125.16.129.16) has joined #evolution-meet
Feb 27 05:24:52 <srag>	and I will probably branch just after the HC freeze
Feb 27 05:25:08 <gicmo>	hey chen
Feb 27 05:25:09 <srag>	hey psankar 
Feb 27 05:25:16 <psankar>	hey srag 
Feb 27 05:25:40 <srag>	I will be moving the external-editor as a experimental plugin
Feb 27 05:26:18 <srag>	since psankar couldn't get it in at the right time
Feb 27 05:26:27 <srag>	apart from that everything else stands same
Feb 27 05:26:30 <psankar>	yeah... :(
Feb 27 05:26:44 <srag>	psankar, np. Lets do better next time :)
Feb 27 05:26:51 <psankar>	right.
Feb 27 05:26:58 <srag>	Any body voted for the code name?
Feb 27 05:27:07 *	jony|mtg has quit (Ping timeout: 600 seconds)
Feb 27 05:27:25 <jony>	srag, yep. i have my votes there .. 
Feb 27 05:27:27 <srag>	Ok.
Feb 27 05:27:49 <srag>	Just vote before I announce branch and so that I can include it
Feb 27 05:27:56 <srag>	We can go around the channel
Feb 27 05:28:02 <srag>	abharath, anything to share with us?
Feb 27 05:28:37 <abharath>	srag: Just busy with some backporting Exchange patches. will start off with completing PST import soon :)
Feb 27 05:28:58 <srag>	abharath, cool. it will be nice to have pst buildservice packages once you have them
