Jul 23 12:01:50 <srag>  Hello Everyone
Jul 23 12:01:51 *       kandepu (~kandepu@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Jul 23 12:01:51 *       lakhil (~lakhil@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Jul 23 12:02:17 <srag>  This is my first meeting after GUADEC, so I have a few things to share from GUADEC
Jul 23 12:03:12 <srag>  me, jony chen had a nice time at GUADEC and from Evolution we had three talks in total
Jul 23 12:03:33 <srag>  and we announced the licensing change during GUADEC
Jul 23 12:03:52 <srag>  abharath, and psankar are working hard for the license audits and taking forward
Jul 23 12:04:48 <srag>  I think chen told it already ' I had a slide with a word, prove me mcrha is human and not a bot' err 'Only project to host a patch bot: mcrha '
Jul 23 12:04:59 <srag>  :)
Jul 23 12:05:04 <abharath>      :)
Jul 23 12:05:06 <mcrha> :)
Jul 23 12:05:31 <srag>  and apart from that, I announced mail to eds work and showcased disk summary in one of my talks
Jul 23 12:05:43 <abharath>      mcrha: You aren't a bot right? never seen you :)
Jul 23 12:05:53 <srag>  GOOD:  wall of Shame  didnt feature Evolution
Jul 23 12:06:04 <srag>  BAD:  wall of FAME didnt feature Evolution
Jul 23 12:06:04 <mcrha> just a small one bot :)
Jul 23 12:06:32 *       varadhan (~bhargavi@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Jul 23 12:06:42 <srag>  we must get hit multiple times at wall of fame next time.. target :)
Jul 23 12:06:58 <srag>  That is the generic update from GUADEC
Jul 23 12:07:14 <srag>  next biggie, we merged disk summary to trunk and started breaking everything :)
Jul 23 12:07:22 <mcrha> srag, do you have some info page for mail-to-eds thing?
Jul 23 12:07:31 <psankar>       mcrha, nope afaik
Jul 23 12:07:34 <srag>  I hope in another 2 weeks (2.23.6) things should be back to normal
Jul 23 12:07:51 <srag>  mcrha, not yet.. we must start doing it once disk summary gets into a shape
Jul 23 12:07:59 *       mcrha just curious what's going on there
Jul 23 12:08:06 <srag>  Im pushing most of the resources on to disk summary atm
Jul 23 12:08:24 <mcrha> sure, that should be fixed soon :)
Jul 23 12:08:30 <srag>  yep
Jul 23 12:08:55 <srag>  we released with a caution note, and asked to report all bugs to be added to the tracker
Jul 23 12:09:49 <srag>  tml's fix just helped us get going.. (we were wondering why sqlite is in a tight mem loop)
Jul 23 12:09:56 <srag>  timely one.. 
Jul 23 12:10:31 <srag>  I know there are lots of known issues like total/unread count, search-breakage, vfolder failures, leaks etc
Jul 23 12:10:44 <srag>  all just a few days away from getting perfect :)
Jul 23 12:10:52 <srag>  thatz it from my side
Jul 23 12:10:58 <srag>  abharath, anything to share with us ?
Jul 23 12:11:17 <abharath>      srag: nothing much. Been working on Templates last week.
Jul 23 12:11:28 <srag>  abharath, good work. Just complete rest of templates also.
Jul 23 12:11:34 <abharath>      srag: and also with the Exchange crasher
