Aug 06 06:01:30 <srag>	Hello guys,
Aug 06 06:01:30 *	schooms (~msuman@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Aug 06 06:01:34 *	mcrha not, /me just hanging and playing with a chair
Aug 06 06:02:10 <srag>	we just had released 2.23.6 
Aug 06 06:02:40 <srag>	first release, with bit more stable disk summary 
Aug 06 06:03:01 <srag>	we are just improving it, thanks to all testers and contributors :)
Aug 06 06:03:28 <srag>	vfolders are a bit flaky atm and I will close it by this week
Aug 06 06:03:42 <srag>	with that, we should be on to optimizations which should speed up the entire code
Aug 06 06:03:54 *	EvaSDK (~eva@APuteaux-755-1-10-239.w90-35.abo.wanadoo.fr) has joined #evolution-meet
Aug 06 06:04:00 <EvaSDK>	heya all
Aug 06 06:04:04 <srag>	we are just around 70 unreviewed patches...
Aug 06 06:04:06 <srag>	hey EvaSDK 
Aug 06 06:04:28 *	mcrha can do with that a bit
Aug 06 06:04:46 <srag>	Im reviewing all around, addressbook / calendar patches need some attention, 
Aug 06 06:04:52 <srag>	and Im busy with disk summary
Aug 06 06:05:02 <srag>	mcrha, offering to review patches ? awesome
Aug 06 06:05:14 <mcrha>	srag, nope, just increase a bit :)
Aug 06 06:05:21 <abharath>	mcrha: :)
Aug 06 06:05:30 *	srag likes mcrha just because, he raises his hand first 
Aug 06 06:05:44 <abharath>	a bit is so relative :D
Aug 06 06:05:48 *	seb128 (~seb128@ANancy-258-1-39-75.w90-39.abo.wanadoo.fr) has joined #evolution-meet
Aug 06 06:05:49 <seb128>	hi
Aug 06 06:05:57 <srag>	mcrha, you are a big contributor there
Aug 06 06:05:59 <srag>	hey seb128 
Aug 06 06:06:06 <mcrha>	srag, it ends there sometimes, but yup, sometimes first :)
Aug 06 06:06:13 <srag>	:)
Aug 06 06:06:20 <srag>	Ok, back to the topic...
Aug 06 06:06:43 <srag>	if any disk summary crasher or hang you feel, pull me or get a gdb trace and post to me
Aug 06 06:07:00 <srag>	also focus on unusual slowness
Aug 06 06:07:09 <srag>	if so, ping me anytime 
Aug 06 06:07:23 <srag>	apart from that, we are into Feature/ABI/API freeze...
Aug 06 06:07:29 <srag>	and also UI/String announce
Aug 06 06:07:47 <srag>	so be cautious and announce as required
Aug 06 06:07:58 <srag>	we would hit UI freeze in two weeks or so, please take up pending UI work now than later
Aug 06 06:08:03 <srag>	thatz it from my side, 
Aug 06 06:08:07 <srag>	abharath, anything to share with us ?
Aug 06 06:08:34 <abharath>	srag: a couple of patches and been working on a Windows installer for trunk. Just been fixing those bugs in the meanwhile. almost done with it. some ssl issues and I should be done
Aug 06 06:09:14 <srag>	abharath, prepare http://go-evolution.org/Windows 
Aug 06 06:09:41 <srag>	I want a windows release for every dot release we do
Aug 06 06:09:41 <abharath>	srag: yup wud update it and also all the scripts in there
Aug 06 06:09:54 <srag>	abharath, have all last stable, unstable .exe at that page
Aug 06 06:09:56 <abharath>	srag: yup that's the plan
Aug 06 06:10:02 <srag>	lets create and advertise it 
Aug 06 06:10:03 <srag>	cool
Aug 06 06:10:15 <srag>	EvaSDK, hey, anything to share with us ?
Aug 06 06:10:16 <abharath>	srag: ya sure. the msi would all be there
Aug 06 06:10:31 <mcrha>	that will be quite big storage space, will it?
Aug 06 06:10:54 <EvaSDK>	srag: no updates since my icon size patch, haven't had a chance to prepare one of my box with 2.23
Aug 06 06:11:02 <srag>	mcrha, not really
Aug 06 06:11:18 <EvaSDK>	could you confirm that commiting this patch won't hit any current freeze btw ?
Aug 06 06:11:24 <srag>	EvaSDK, ok. try 2.23.6 or trunk.
Aug 06 06:11:29 <srag>	EvaSDK, bug id
Aug 06 06:11:31 <mcrha>	abharath, what's the installer size? 20MB?
Aug 06 06:11:56 <EvaSDK>	bug #416258
Aug 06 06:12:08 <srag>	EvaSDK, sure, I will see the bug and reply
Aug 06 06:12:14 <EvaSDK>	thanks
Aug 06 06:12:14 <srag>	kandepu, anything to share with us ?
Aug 06 06:12:33 <abharath>	mcrha: should be around 60MB ideally. have been including some unnecessary packages right now so its blown to 78MB
Aug 06 06:12:48 <EvaSDK>	I'll push myself harder to prepare a 2.23 box, since I've patches for nautilus as well :)
Aug 06 06:12:57 <srag>	EvaSDK, I dont think it breaks anything IMO
Aug 06 06:12:57 <kandepu>	srag, nothing much
Aug 06 06:13:06 <abharath>	mcrha: but yes close to 60MB is what it usually is
Aug 06 06:13:10 <srag>	lakhil, anything to share with us ?
Aug 06 06:13:24 <lakhil>	srag, some patch testing and bug triaging  
Aug 06 06:13:25 <EvaSDK>	I think so too, just wanted to check :)
Aug 06 06:13:31 <mcrha>	srag, hmm, 60MB for each dot release? it'll be quite nice bunch of storage bits soon :)
Aug 06 06:13:56 <srag>	mcrha, we may just maintain last stable and unstable versions
Aug 06 06:14:07 <srag>	120MB is pretty small these days...
Aug 06 06:14:22 <schooms>	we should have 1 unstable + 1 stable
Aug 06 06:14:23 <abharath>	srag: :)
