Aug 13 12:06:37 <srag>	Hello every one
Aug 13 12:06:47 <seb128>	hi there
Aug 13 12:07:09 <srag>	Lets try to have a quick meeting ;-)
Aug 13 12:07:16 *	psankar (~evo@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Aug 13 12:07:33 *	psankar is now known as psankar_afk
Aug 13 12:07:56 <srag>	Guys, disk summary is coming up pretty well.
Aug 13 12:08:08 *	muelli (~Muelli@g224104049.adsl.alicedsl.de) has joined #evolution-meet
Aug 13 12:08:10 <srag>	lots of bugs coming in and we are fixing it at equal speed
Aug 13 12:08:14 *	EvaSDK_ (~eva@APuteaux-755-1-31-214.w90-61.abo.wanadoo.fr) has joined #evolution-meet
Aug 13 12:08:17 <srag>	still counts messing up things
Aug 13 12:08:48 <srag>	apart from that, chen's mvc changes made in today
Aug 13 12:08:57 <srag>	which is another major change in calendar
Aug 13 12:09:01 *	kandepu (~kandepu@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Aug 13 12:09:02 <jony>	yay ! cal is faster now :) 
Aug 13 12:09:07 <srag>	lots of new architectural changes getting in
Aug 13 12:09:14 <srag>	so, its equally risky
Aug 13 12:09:20 <srag>	lets be very cautious :)
Aug 13 12:09:39 <srag>	we have 2.23.90 on monday and I hope disk summary much be more stable for it
Aug 13 12:10:33 <srag>	lets go around the channel...
Aug 13 12:10:38 <srag>	abharath, anything to share with us ?
Aug 13 12:11:03 <abharath>	srag: Been working on trunk for Windows. committed a few hacks and its almost there now
Aug 13 12:11:14 <abharath>	srag: apart from that wud work on Exchange unread counts
Aug 13 12:11:15 <srag>	abharath, you need to focus on exchange w/disk summary
Aug 13 12:11:19 <srag>	abharath, cool.
Aug 13 12:11:26 <abharath>	srag: yup on my list
Aug 13 12:11:27 <srag>	EvaSDK_, hey, anything to share with us ?
Aug 13 12:11:43 *	mcrha has some pending reviews on abharath :)
Aug 13 12:11:55 <srag>	mcrha, ping ping ping him... :)
Aug 13 12:12:01 <abharath>	mcrha: yes would do that :)
Aug 13 12:12:01 <srag>	jony, anything to share with us ?
Aug 13 12:12:06 <abharath>	srag: :)
Aug 13 12:12:31 <jony>	srag: more MAPI. looks like recent changes have broken some fetching items .. 
Aug 13 12:12:34 <mcrha>	I think it's only two bugs, not three :)
Aug 13 12:12:55 <jony>	currently working on PF support and looking at some more MAPI specific things (like forwarding ) 
Aug 13 12:12:59 <abharath>	mcrha: ok cool. will do it for this release
Aug 13 12:13:00 <EvaSDK_>	srag: nope, updated my box to 2.23.6 so should be able to commit patches this weekend :)
Aug 13 12:13:15 <srag>	EvaSDK_, ok :)
Aug 13 12:13:21 <mcrha>	abharath, yup, would be nice before (any) freeze
Aug 13 12:13:27 <srag>	kandepu, anything to share iwth us ?
Aug 13 12:13:47 <abharath>	mcrha: sure thing
Aug 13 12:13:58 <kandepu>	srag, testing on MAPI and little on Evo on windows
Aug 13 12:14:06 <srag>	kandepu, cool.
Aug 13 12:14:12 <srag>	kmaraas, hey.. anything to share with us ?
Aug 13 12:14:19 <srag>	kmaraas, I know you are having lots of troubles
Aug 13 12:14:27 <jony>	srag: also kandepu will put MAPI bugs in BGO. no more wiki + pastebin :) 
Aug 13 12:14:37 <srag>	jony, kandepu cool.
Aug 13 12:15:03 <srag>	lakhil|brb, anything to share with us ?
Aug 13 12:15:37 <srag>	mcrha, anything to share with us ?
Aug 13 12:15:39 <mcrha>	somehow nothing interesting this week, just usual kill-the-bug game.
Aug 13 12:16:03 <srag>	mcrha, :)
Aug 13 12:16:30 <srag>	muelli, anything to share with us ?
